display_id,idx,strategy,n,budget,coverage,n_obs_edges,rho_true,naive,conditional,mle
1,5,time_respecting,1000,1600,0.185,738,0.3,0.027,0.081,0.118
2,7,time_agnostic_t,1000,800,0.154,612,0.3,0.044,0.181,0.292
3,3,time_agnostic_t,2000,1600,0.159,1270,0.15,0.019,0.092,0.165
4,8,time_respecting,1000,1600,0.173,692,0.151,0.017,0.045,0.068
5,4,time_respecting,2000,3200,0.184,1473,0.3,0.04,0.114,0.168
6,6,time_respecting,2000,3200,0.189,1513,0.45,0.046,0.133,0.19
7,10,time_respecting,2000,3200,0.175,1398,0.15,0.016,0.042,0.056
8,1,time_agnostic_t,2000,1600,0.157,1250,0.3,0.036,0.165,0.284
9,9,time_agnostic_t,2000,1600,0.157,1252,0.45,0.054,0.237,0.416
10,2,time_agnostic_t,1000,800,0.152,609,0.45,0.061,0.25,0.425
