family,arm,method,graphs,MAE2,MAE2_se,ProfileMAE,ProfileMAE_se,signed_rho2,signed_rho2_se,paired_vs_corrector,paired_vs_corrector_se,paired_vs_plugin,paired_vs_plugin_se
all,R,plugin,100,0.017608210303664683,0.0009824412923602804,0.014519534038195597,0.0008818017148268639,-0.00019223413941273307,0.001124352607155092,0.0,0.0,,
all,R,corrector,100,0.017608210303664683,0.0009824412923602804,0.014519534038195597,0.0008818017148268639,-0.00019223413941273307,0.001124352607155092,,,0.0,0.0
all,R,median,100,0.3055011846117026,0.014455675017315683,0.2112576308998595,0.015130285881709542,-0.21080863870545635,0.02651059996248579,0.28789297430803795,0.014673666562558987,0.28789297430803795,0.014673666562558987
all,R,extratrees_pooled,100,0.018472800138235657,0.001153687617951834,0.01504737232664733,0.0009530061337393386,-0.0009320232493804919,0.0017747919543250382,0.0008645898345709672,0.0011298131973001466,0.0008645898345709672,0.0011298131973001466
all,R,extratrees_real_only,100,0.15768130494098234,0.011350836534117352,0.10432420492904747,0.009333224392860127,-0.1465353470354468,0.012749149757994646,0.14007309463731768,0.011453931920563648,0.14007309463731768,0.011453931920563648
all,S,plugin,100,0.13685900824325725,0.00465727842785007,0.11451748672140807,0.005683589385058472,0.13361347405309112,0.005256008246722948,0.10504895361899136,0.005037749528279048,,
all,S,corrector,100,0.03181005462426587,0.0026577071585845245,0.02293470034080726,0.002407349846803167,-0.0010267053189358102,0.0026807680989617633,,,-0.10504895361899136,0.005037749528279048
all,S,median,100,0.3055011846117026,0.014455675017315683,0.2112576308998595,0.015130285881709542,-0.21080863870545635,0.02651059996248579,0.2736911299874368,0.014117129548875475,0.1686421763684454,0.016907118095347194
all,S,extratrees_pooled,100,0.02131949605641249,0.0017340929061385219,0.01823670583797836,0.0014351782328485539,0.0015557377102826612,0.0024084016362414247,-0.010490558567853381,0.0020753107979742617,-0.11553951218684476,0.004681220177334406
all,S,extratrees_real_only,100,0.16722138764327002,0.0111610804979769,0.10924742676072183,0.009335146215162965,-0.15148559536846384,0.013230263773764604,0.1354113330190042,0.01048792290734557,0.030362379400012802,0.012486549113948921
all,H,plugin,100,0.10103178419986944,0.0061041800262406146,0.13443017960022935,0.008838334763930766,-0.10072094128854457,0.006121903207709467,-0.01888236612079444,0.010175071626169447,,
all,H,corrector,100,0.11991415032066385,0.0074341184566205625,0.07839390273855186,0.005913992438733929,0.11847518586540443,0.0076440735180966345,,,0.01888236612079444,0.010175071626169447
all,H,median,100,0.3055011846117026,0.014455675017315683,0.2112576308998595,0.015130285881709542,-0.21080863870545635,0.02651059996248579,0.1855870342910388,0.01499153085997434,0.20446940041183326,0.016960589047700952
all,H,extratrees_pooled,100,0.024616876511069256,0.0018300065987678093,0.01732039548528436,0.001005686226109631,-0.000821311151251518,0.0027959611465613724,-0.0952972738095946,0.007317103548867143,-0.07641490768880016,0.00564748921473392
all,H,extratrees_real_only,100,0.1535093470257477,0.01108213473390403,0.09945449513224539,0.009014220879211941,-0.14555919226696035,0.012102877312074985,0.03359519670508384,0.011056811415774605,0.052477562825878274,0.012430332991829482
all,H,candidate,100,0.038017230987168624,0.002273103316438741,0.042875335418931446,0.0030884745333844476,0.025208080748798233,0.003225641174501121,-0.08189691933349524,0.006814929212731148,-0.0630145532127008,0.006419300518706593
all,B,plugin,100,0.38388137003074474,0.016634159273930818,0.25035180824034087,0.01656530053721535,-0.38388137003074474,0.016634159273930818,0.267507332833293,0.013307415733355418,,
all,B,corrector,100,0.11637403719745175,0.006409444582760025,0.07669571640783703,0.0055060239881770815,0.11453495031237101,0.006619286833495876,,,-0.267507332833293,0.013307415733355418
all,B,median,100,0.3055011846117026,0.014455675017315683,0.2112576308998595,0.015130285881709542,-0.21080863870545635,0.02651059996248579,0.1891271474142509,0.014089052261443228,-0.07838018541904207,0.014285515451286404
all,B,extratrees_pooled,100,0.030473369030364964,0.002188094246186922,0.026636044461781652,0.0018206583431776258,0.005317899058731871,0.0033692449432625358,-0.08590066816708682,0.006013220965350458,-0.3534080010003797,0.016457132339065726
all,B,extratrees_real_only,100,0.2063284264963572,0.012356419925530115,0.1288923219772812,0.011073585336459938,-0.20488502529282965,0.012578537032592296,0.08995438929890544,0.010493284930449018,-0.17755294353438753,0.006551478158194335
all,B,candidate,100,0.07187311164686372,0.0040497592011874755,0.05053012765448795,0.0036148954222451493,0.01713136071128265,0.0052987409321162485,-0.044500925550587996,0.005216834039656124,-0.31200825838388097,0.014011364745858918
dar,R,plugin,50,0.01995234192265996,0.0012996449268199912,0.016664136758258428,0.0011749500313591565,-0.0009522883144896249,0.001577813578974072,0.0,0.0,,
dar,R,corrector,50,0.01995234192265996,0.0012996449268199912,0.016664136758258428,0.0011749500313591565,-0.0009522883144896249,0.001577813578974072,,,0.0,0.0
dar,R,median,50,0.28572261220081197,0.020519965535822325,0.20751147106212375,0.022767644914315932,-0.27133882647124985,0.02417834782172864,0.265770270278152,0.020717708016616612,0.265770270278152,0.020717708016616612
dar,R,extratrees_pooled,50,0.02145408571788218,0.0017192143393360087,0.016685914008362213,0.0013078915388395021,0.0009189567214630972,0.002982529062573887,0.0015017437952222156,0.001906199965667864,0.0015017437952222156,0.001906199965667864
dar,R,extratrees_real_only,50,0.16135783682420704,0.013611726312655427,0.1090032813329135,0.013648263416399195,-0.15489393277260036,0.015021861086838563,0.14140549490154705,0.0139186601625653,0.14140549490154705,0.0139186601625653
dar,S,plugin,50,0.14165841025792317,0.005321058026011913,0.11129434315700402,0.005116444058302833,0.13516734187759089,0.007289654512414695,0.1027456228780548,0.00671491194563671,,
dar,S,corrector,50,0.0389127873798684,0.003967739766857821,0.028657613341401215,0.003931648720186313,-0.0018394329398493956,0.004726134793222896,,,-0.1027456228780548,0.00671491194563671
dar,S,median,50,0.28572261220081197,0.020519965535822325,0.20751147106212375,0.022767644914315932,-0.27133882647124985,0.02417834782172864,0.24680982482094357,0.0207400336149387,0.1440642019428888,0.023544040739029277
dar,S,extratrees_pooled,50,0.0296062950329614,0.002759764538808785,0.023012281559386723,0.002178631785623766,0.004976964285273286,0.004398115257164364,-0.009306492346906997,0.0031074912870894603,-0.11205211522496177,0.005916842720227287
dar,S,extratrees_real_only,50,0.17235535796964435,0.013628420689450497,0.11464870631620733,0.013786049352117014,-0.16675444961799413,0.014958737153938206,0.133442570589776,0.01405900402326374,0.030696947711721198,0.0167015889260067
