stratum,arm,method,sources,MAE2,MAE2_se,ProfileMAE,signed_rho2,worst_source_AE2,fallbacks,paired_vs_corrector,paired_vs_corrector_se,paired_vs_plugin,paired_vs_plugin_se
real,R,plugin,6,0.01972175508672606,0.008256509301033482,0.012421079129873606,-0.0018526253706734575,0.06025365153553712,0,0.0,0.0,,
real,R,corrector,6,0.01972175508672606,0.008256509301033482,0.012421079129873606,-0.0018526253706734575,0.06025365153553712,0,,,0.0,0.0
real,R,median,6,0.22884872807441206,0.031963558135367505,0.11163162364697653,-0.012096855973721296,0.33446062322736403,0,0.209126972987686,0.03746407256292397,0.209126972987686,0.03746407256292397
real,R,extratrees_pooled,6,0.029856621846434315,0.008161402135570244,0.0182618276312701,0.018411802255384517,0.05358436939792004,0,0.01013486675970826,0.009753462480145766,0.01013486675970826,0.009753462480145766
real,R,extratrees_real_only,6,0.04636891086932,0.006879765894748443,0.02911027807556953,-0.0033731047194584542,0.06364570956597138,0,0.02664715578259394,0.009610549905137376,0.02664715578259394,0.009610549905137376
real,S,plugin,6,0.32223925257300373,0.05479546148053902,0.2735440123620289,0.32223925257300373,0.4528249641478813,0,0.2250516903160018,0.06258288012575174,,
real,S,corrector,6,0.09718756225700197,0.04395092314748458,0.04369273199384429,0.009365603480740482,0.292547075106133,0,,,-0.2250516903160018,0.06258288012575174
real,S,median,6,0.22884872807441206,0.031963558135367505,0.11163162364697653,-0.012096855973721296,0.33446062322736403,0,0.13166116581741008,0.0698896988445721,-0.09339052449859171,0.08186553418034148
real,S,extratrees_pooled,6,0.06147006559844075,0.016878513795424627,0.03749653760447464,0.030335062716408272,0.12646202301457474,0,-0.035717496658561214,0.03786536982704143,-0.260769186974563,0.06778389700970008
real,S,extratrees_real_only,6,0.06810937129335305,0.022516817248706324,0.037393802853900725,0.003587882039245878,0.13577001190608398,0,-0.029078190963648904,0.04287178582023714,-0.25412988127965075,0.07410477139122387
real,H,plugin,6,0.07205608790675787,0.018343856420284604,0.0651190752246874,-0.06534710741220708,0.1255164314770904,0,-0.09845479895002869,0.023118688934550293,,
real,H,corrector,6,0.1705108868567866,0.026660521062612165,0.07006349788792654,0.1705108868567866,0.23548720049952446,0,,,0.09845479895002869,0.023118688934550293
real,H,median,6,0.22884872807441206,0.031963558135367505,0.11163162364697653,-0.012096855973721296,0.33446062322736403,0,0.058337841217625495,0.056944293458195565,0.15679264016765418,0.04722426770990224
real,H,extratrees_pooled,6,0.05895536063288437,0.02034441316746407,0.034833342934507544,0.04379077327100309,0.13693374341996506,0,-0.11155552622390219,0.03529281088854194,-0.013100727273873502,0.03575659981389808
real,H,extratrees_real_only,6,0.060194616105239455,0.017062398566836577,0.046297786121577054,0.013148085256075288,0.1343999188301626,0,-0.1103162707515471,0.0357890844667744,-0.011861471801518414,0.02991418176102978
real,H,candidate,6,0.08531297427845892,0.01937785912411958,0.042654659202783836,0.0818047072753393,0.1429060267981522,4,-0.08519791257832764,0.027106058756989706,0.013256886371701068,0.02840997231168721
real,B,plugin,6,0.0823036062185559,0.0145961106473967,0.041687205465567125,-0.0823036062185559,0.1271634728883823,0,0.026793557713706718,0.02699136258290543,,
real,B,corrector,6,0.055510048504849176,0.01836247586370256,0.04949004069963256,0.033289212959294774,0.10846980872978165,0,,,-0.026793557713706718,0.02699136258290543
real,B,median,6,0.22884872807441206,0.031963558135367505,0.11163162364697653,-0.012096855973721296,0.33446062322736403,0,0.17333867956956292,0.037565147308142234,0.14654512185585616,0.043851221263208555
real,B,extratrees_pooled,6,0.05240610688913746,0.015423707023280789,0.034445619291284625,-0.014521465700912062,0.08765728762716272,0,-0.0031039416157117236,0.024911031530737995,-0.02989749932941844,0.015920181129935037
real,B,extratrees_real_only,6,0.06973791511268505,0.021888401774130754,0.03401977825692432,-0.039994901014456956,0.15682067725229518,0,0.014227866607835872,0.02843329390188515,-0.012565691105870845,0.01398086556326203
real,B,candidate,6,0.05917514423399029,0.018998696175151417,0.037027678174260725,-0.01868583314399837,0.11870643644322802,4,0.0036650957291411088,0.02512046808364351,-0.023128461984565613,0.01503301403738822
synthetic,R,plugin,8,0.020297518399450112,0.00351506064232043,0.01807716291467802,0.0015337891285557613,0.036715597289306665,0,0.0,0.0,,
synthetic,R,corrector,8,0.020297518399450112,0.00351506064232043,0.01807716291467802,0.0015337891285557613,0.036715597289306665,0,,,0.0,0.0
synthetic,R,median,8,0.29684098190292296,0.05965823462044837,0.21104449522745866,-0.14272536142021292,0.434296757210781,0,0.27654346350347286,0.05876060098626708,0.27654346350347286,0.05876060098626708
synthetic,R,extratrees_pooled,8,0.0186798542598072,0.004514614823598016,0.019188581491518114,0.0031010511295996475,0.045047788414181625,0,-0.0016176641396429168,0.002988231983297718,-0.0016176641396429168,0.002988231983297718
synthetic,R,extratrees_real_only,8,0.133118904744536,0.04217275990341639,0.09674391176309427,-0.12170347878285356,0.26294936236374306,0,0.11282138634508589,0.03999835140500826,0.11282138634508589,0.03999835140500826
synthetic,S,plugin,8,0.12554021019182401,0.020660638697804188,0.10399387747786501,0.12554021019182401,0.1880232297784442,0,0.09326208251426632,0.017051501477373134,,
synthetic,S,corrector,8,0.03227812767755768,0.006874824361064132,0.02291543468603015,0.005365230842789198,0.05679206590030637,0,,,-0.09326208251426632,0.017051501477373134
synthetic,S,median,8,0.29684098190292296,0.05965823462044837,0.21104449522745866,-0.14272536142021292,0.434296757210781,0,0.2645628542253653,0.05676013026767473,0.17130077171109898,0.06949216257938659
synthetic,S,extratrees_pooled,8,0.017259526297833512,0.004022504526407644,0.017628355031974463,0.00878704807573871,0.03231368676879032,0,-0.015018601379724165,0.005715243401307321,-0.1082806838939905,0.01861618592141023
synthetic,S,extratrees_real_only,8,0.1396297933245066,0.04162922072725997,0.10087790845933386,-0.12414089832034839,0.26573828604525834,0,0.10735166564694892,0.035590247326119255,0.014089583132682604,0.040657327292320196
synthetic,H,plugin,8,0.09353548712042703,0.02610310917239364,0.12422773291053188,-0.09353548712042703,0.1877553906754123,0,-1.808865484930009e-05,0.04549057523959649,,
synthetic,H,corrector,8,0.09355357577527633,0.03090462159154449,0.0695159046772368,0.08021643053287908,0.21816978067692894,0,,,1.808865484930009e-05,0.04549057523959649
synthetic,H,median,8,0.29684098190292296,0.05965823462044837,0.21104449522745866,-0.14272536142021292,0.434296757210781,0,0.20328740612764662,0.04503369093823398,0.20330549478249593,0.07836053404036916
synthetic,H,extratrees_pooled,8,0.03097390412140595,0.009205940680740989,0.01875900735605876,-0.011495627543802324,0.07268070742606297,0,-0.06257967165387038,0.03346731354493533,-0.06256158299902108,0.021603187204019495
synthetic,H,extratrees_real_only,8,0.13636599956244225,0.037962089368272334,0.08928847473331936,-0.13011677274221423,0.2496767081206542,0,0.04281242378716592,0.01770548249940454,0.04283051244201522,0.045159575363026214
synthetic,H,candidate,8,0.035954238062037194,0.009884563784023769,0.03432504047284259,0.021653163953202104,0.08007498560967434,0,-0.057599337713239135,0.02803896076274536,-0.057581249058389836,0.023865481453698482
synthetic,B,plugin,8,0.36294798336933587,0.07913612150724546,0.23438096910118697,-0.36294798336933587,0.5835735430465554,0,0.2667517131567122,0.0564780787691925,,
synthetic,B,corrector,8,0.09619627021262364,0.029204030072583823,0.0759779361555342,0.09244984047553849,0.20166499879507832,0,,,-0.2667517131567122,0.0564780787691925
synthetic,B,median,8,0.29684098190292296,0.05965823462044837,0.21104449522745866,-0.14272536142021292,0.434296757210781,0,0.20064471169029932,0.04613004367130716,-0.06610700146641289,0.07639502901209655
synthetic,B,extratrees_pooled,8,0.024020077611713313,0.005913391790169942,0.03029492383078987,-0.006549667416729073,0.056929611804238965,0,-0.07217619260091032,0.027721001376001708,-0.33892790575762255,0.07515340846001073
synthetic,B,extratrees_real_only,8,0.19086121374258688,0.049915783686982906,0.12544564811584336,-0.18808784906900583,0.34042582715931485,0,0.09466494352996324,0.027742419503809315,-0.17208676962674896,0.031181252077040065
synthetic,B,candidate,8,0.06609018584419389,0.01754100707079389,0.050061130018405536,-0.0013272896222430025,0.15974432245071618,5,-0.030106084368429764,0.021965687028246084,-0.29685779752514196,0.06476646588127583
