dataset,requested_rho_2,seed,W,span_layout,timestamp_mode,hub_bias,status,achieved_rho_2,absolute_deviation,nodes_preserved,topology_preserved,per_dyad_counts_preserved,timestamps_preserved,allocation_deviations,error
sp_hospital,0.15,1274828654,5,contiguous,empirical,False,ok,0.14837576821773485,0.0016242317822651453,True,True,True,True,5,
sp_hospital,0.55,798003818,5,contiguous,empirical,False,ok,0.5460930640913082,0.003906935908691844,True,True,True,True,5,
sp_primaryschool,0.15,3886920583,5,contiguous,empirical,False,ok,0.1500541060478538,5.4106047853802464e-05,True,True,True,True,425,
sp_primaryschool,0.55,2210494083,5,contiguous,empirical,False,ok,0.5463508476614164,0.00364915233858365,True,True,True,True,1501,
sp_highschool2013,0.15,2626642324,5,contiguous,empirical,False,ok,0.14936404262633207,0.0006359573736679225,True,True,True,True,7,
sp_highschool2013,0.55,4175668368,5,contiguous,empirical,False,ok,0.549673427294603,0.00032657270539704353,True,True,True,True,8,
sp_workplace,0.15,1212531072,5,contiguous,empirical,False,ok,0.14997660271408517,2.3397285914827926e-05,True,True,True,True,202,
sp_workplace,0.55,740885636,5,contiguous,empirical,False,ok,0.5477304632662611,0.002269536733738975,True,True,True,True,748,
sp_hypertext2009,0.15,684980244,5,contiguous,empirical,False,ok,0.10428051001821494,0.04571948998178506,True,True,True,True,149,
sp_hypertext2009,0.55,1287601424,5,contiguous,empirical,False,ok,0.24726775956284153,0.3027322404371585,True,True,True,True,936,
snap_collegemsg,0.15,1572975998,5,contiguous,empirical,False,ok,0.14705882352941177,0.002941176470588225,True,True,True,True,57,
snap_collegemsg,0.55,967667834,5,contiguous,empirical,False,ok,0.547911547911548,0.0020884520884520974,True,True,True,True,44,
snap_email_eu,0.15,730916207,5,contiguous,empirical,False,ok,0.1499003984063745,9.960159362548682e-05,True,True,True,True,4,
snap_email_eu,0.55,1341923435,5,contiguous,empirical,False,ok,0.549800796812749,0.00019920318725108466,True,True,True,True,6,
snap_mathoverflow,0.15,1181499482,5,contiguous,empirical,False,ok,0.1420637707063292,0.007936229293670799,True,True,True,True,1869,
snap_mathoverflow,0.55,570459486,5,contiguous,empirical,False,ok,0.3740650899535072,0.17593491004649287,True,True,True,True,5233,
snap_bitcoin_otc,0.15,1548710460,5,contiguous,empirical,False,ok,0.12623301693653452,0.023766983063465474,True,True,True,True,511,
snap_bitcoin_otc,0.55,941864760,5,contiguous,empirical,False,ok,0.48720454122464174,0.0627954587753583,True,True,True,True,1350,
nr_radoslaw_email,0.15,587002668,5,contiguous,empirical,False,ok,0.1443076923076923,0.005692307692307691,True,True,True,True,30,
nr_radoslaw_email,0.55,1183856168,5,contiguous,empirical,False,ok,0.548923076923077,0.0010769230769230864,True,True,True,True,8,
nr_enron_employees,0.15,511517807,5,contiguous,empirical,False,ok,0.14941022280471822,0.0005897771952817765,True,True,True,True,8,
nr_enron_employees,0.55,2047992171,5,contiguous,empirical,False,ok,0.5498034076015728,0.0001965923984272866,True,True,True,True,2,
nr_digg_reply,0.15,2044184048,5,contiguous,empirical,False,ok,0.0084903998590805,0.14150960014091948,True,True,True,True,139,
nr_digg_reply,0.55,498794740,5,contiguous,empirical,False,ok,0.008560859608948389,0.5414391403910517,True,True,True,True,137,
jodie_wikipedia,0.15,1966191468,5,contiguous,empirical,False,ok,0.14942213945336036,0.0005778605466396358,True,True,True,True,12,
jodie_wikipedia,0.55,291337832,5,contiguous,empirical,False,ok,0.48173303390480365,0.06826696609519639,True,True,True,True,33,
jodie_reddit,0.15,3727345049,5,contiguous,empirical,False,ok,0.148988741148301,0.001011258851699004,True,True,True,True,113,
jodie_reddit,0.55,3125149853,5,contiguous,empirical,False,ok,0.5383743440827348,0.011625655917265276,True,True,True,True,261,
jodie_lastfm,0.15,1305130759,5,contiguous,empirical,False,ok,0.14921319027310911,0.0007868097268908802,True,True,True,True,201,
jodie_lastfm,0.55,698774019,5,contiguous,empirical,False,ok,0.5490957656152213,0.0009042343847787127,True,True,True,True,194,
jodie_mooc,0.15,3881307601,5,contiguous,empirical,False,ok,0.14058270708293405,0.009417292917065945,True,True,True,True,2123,
jodie_mooc,0.55,2201274581,5,contiguous,empirical,False,ok,0.5059598863502631,0.04404011364973692,True,True,True,True,7648,
copenhagen_bluetooth,0.15,673361054,5,contiguous,empirical,False,ok,0.14986797434930216,0.00013202565069783678,True,True,True,True,12,
copenhagen_bluetooth,0.55,1280207258,5,contiguous,empirical,False,ok,0.5492015591600654,0.0007984408399346332,True,True,True,True,71,
