stratum,arm,method,MAE2,MCSE,between_source_SE,ProfileMAE,signed_plugin_error,valid_fraction,replacement_fraction,empty_fraction,sources
real,R,plugin,0.017520519757333736,0.0020182232367739494,0.006122847865033885,0.012095031892409534,-0.0023912450292629954,1.0,0.0,0.0,"{""copenhagen_bluetooth"": {""mean"": 0.005840930126802024, ""mcse"": 0.0015398592542097231, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0015398592542097231, ""draws"": 5, ""deterministic_draw"": false}, ""snap_collegemsg"": {""mean"": 0.0056808479219702555, ""mcse"": 0.0032459681847508337, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0032459681847508337, ""draws"": 5, ""deterministic_draw"": false}, ""snap_email_eu"": {""mean"": 0.022097390603300692, ""mcse"": 0.005854459597495737, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.005854459597495737, ""draws"": 5, ""deterministic_draw"": false}, ""snap_mathoverflow"": {""mean"": 0.0045310085670798, ""mcse"": 0.0012406846214680924, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0012406846214680924, ""draws"": 5, ""deterministic_draw"": false}, ""sp_highschool2013"": {""mean"": 0.02486704458136163, ""mcse"": 0.008164288779919903, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.008164288779919903, ""draws"": 5, ""deterministic_draw"": false}, ""sp_hospital"": {""mean"": 0.042105896743488004, ""mcse"": 0.0055909765188723575, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0055909765188723575, ""draws"": 5, ""deterministic_draw"": false}}"
real,R,corrector,0.017520519757333736,0.0020182232367739494,0.006122847865033885,0.012095031892409534,,1.0,0.0,0.0,"{""copenhagen_bluetooth"": {""mean"": 0.005840930126802024, ""mcse"": 0.0015398592542097231, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0015398592542097231, ""draws"": 5, ""deterministic_draw"": false}, ""snap_collegemsg"": {""mean"": 0.0056808479219702555, ""mcse"": 0.0032459681847508337, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0032459681847508337, ""draws"": 5, ""deterministic_draw"": false}, ""snap_email_eu"": {""mean"": 0.022097390603300692, ""mcse"": 0.005854459597495737, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.005854459597495737, ""draws"": 5, ""deterministic_draw"": false}, ""snap_mathoverflow"": {""mean"": 0.0045310085670798, ""mcse"": 0.0012406846214680924, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0012406846214680924, ""draws"": 5, ""deterministic_draw"": false}, ""sp_highschool2013"": {""mean"": 0.02486704458136163, ""mcse"": 0.008164288779919903, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.008164288779919903, ""draws"": 5, ""deterministic_draw"": false}, ""sp_hospital"": {""mean"": 0.042105896743488004, ""mcse"": 0.0055909765188723575, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0055909765188723575, ""draws"": 5, ""deterministic_draw"": false}}"
real,R,median,0.22884872807441206,2.3129646346357427e-18,0.031963558135367505,0.1116316236469765,,1.0,0.0,0.0,"{""copenhagen_bluetooth"": {""mean"": 0.15679934307552423, ""mcse"": 0.0, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0, ""draws"": 5, ""deterministic_draw"": false}, ""snap_collegemsg"": {""mean"": 0.31579499307470826, ""mcse"": 0.0, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0, ""draws"": 5, ""deterministic_draw"": false}, ""snap_email_eu"": {""mean"": 0.21560074628952605, ""mcse"": 1.3877787807814457e-17, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 1.3877787807814457e-17, ""draws"": 5, ""deterministic_draw"": false}, ""snap_mathoverflow"": {""mean"": 0.33446062322736403, ""mcse"": 0.0, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0, ""draws"": 5, ""deterministic_draw"": false}, ""sp_highschool2013"": {""mean"": 0.19543570347008532, ""mcse"": 0.0, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0, ""draws"": 5, ""deterministic_draw"": false}, ""sp_hospital"": {""mean"": 0.15500095930926444, ""mcse"": 0.0, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0, ""draws"": 5, ""deterministic_draw"": false}}"
real,R,extratrees,0.03569855840835128,0.003974980074577985,0.005855128031647945,0.028295339934689172,,1.0,0.0,0.0,"{""copenhagen_bluetooth"": {""mean"": 0.023794865012634947, ""mcse"": 0.000274337425700835, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.000274337425700835, ""draws"": 5, ""deterministic_draw"": false}, ""snap_collegemsg"": {""mean"": 0.038402517210350005, ""mcse"": 0.007143402197670254, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.007143402197670254, ""draws"": 5, ""deterministic_draw"": false}, ""snap_email_eu"": {""mean"": 0.04169339100747499, ""mcse"": 0.0020643793772887518, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0020643793772887518, ""draws"": 5, ""deterministic_draw"": false}, ""snap_mathoverflow"": {""mean"": 0.03968490728581385, ""mcse"": 0.0019733422301901125, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0019733422301901125, ""draws"": 5, ""deterministic_draw"": false}, ""sp_highschool2013"": {""mean"": 0.014969053126946508, ""mcse"": 0.003596514155304518, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.003596514155304518, ""draws"": 5, ""deterministic_draw"": false}, ""sp_hospital"": {""mean"": 0.05564661680688739, ""mcse"": 0.022285032769497087, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.022285032769497087, ""draws"": 5, ""deterministic_draw"": false}}"
real,S,plugin,0.31269262751090926,0.0024597090387028695,0.05256686918133223,0.24692739334554312,0.3126926275109093,1.0,0.0,0.0,"{""copenhagen_bluetooth"": {""mean"": 0.42242768899149336, ""mcse"": 0.002432549816080939, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.002432549816080939, ""draws"": 5, ""deterministic_draw"": false}, ""snap_collegemsg"": {""mean"": 0.14783541662527738, ""mcse"": 0.0034350269797589522, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0034350269797589522, ""draws"": 5, ""deterministic_draw"": false}, ""snap_email_eu"": {""mean"": 0.4182383538936619, ""mcse"": 0.0032823593701207915, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0032823593701207915, ""draws"": 5, ""deterministic_draw"": false}, ""snap_mathoverflow"": {""mean"": 0.15450201127726873, ""mcse"": 0.002471228873596918, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.002471228873596918, ""draws"": 5, ""deterministic_draw"": false}, ""sp_highschool2013"": {""mean"": 0.3957955719248357, ""mcse"": 0.007569070975897297, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.007569070975897297, ""draws"": 5, ""deterministic_draw"": false}, ""sp_hospital"": {""mean"": 0.33735672235291847, ""mcse"": 0.011221304220315942, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.011221304220315942, ""draws"": 5, ""deterministic_draw"": false}}"
real,S,corrector,0.030790499047005915,0.006006225775802447,0.01423369336816445,0.015525509946497927,,1.0,0.0,0.0,"{""copenhagen_bluetooth"": {""mean"": 0.01553350289233385, ""mcse"": 0.006508921203990821, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.006508921203990821, ""draws"": 5, ""deterministic_draw"": false}, ""snap_collegemsg"": {""mean"": 0.007341189150281624, ""mcse"": 0.0016078404363613257, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0016078404363613257, ""draws"": 5, ""deterministic_draw"": false}, ""snap_email_eu"": {""mean"": 0.019798014171489586, ""mcse"": 0.0018527590730822022, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0018527590730822022, ""draws"": 5, ""deterministic_draw"": false}, ""snap_mathoverflow"": {""mean"": 0.0021105305183148487, ""mcse"": 0.0005486955200625245, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0005486955200625245, ""draws"": 5, ""deterministic_draw"": false}, ""sp_highschool2013"": {""mean"": 0.044678649009965286, ""mcse"": 0.006597524254305047, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.006597524254305047, ""draws"": 5, ""deterministic_draw"": false}, ""sp_hospital"": {""mean"": 0.09528110853965031, ""mcse"": 0.034734401033637605, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.034734401033637605, ""draws"": 5, ""deterministic_draw"": false}}"
real,S,median,0.22884872807441206,2.3129646346357427e-18,0.031963558135367505,0.1116316236469765,,1.0,0.0,0.0,"{""copenhagen_bluetooth"": {""mean"": 0.15679934307552423, ""mcse"": 0.0, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0, ""draws"": 5, ""deterministic_draw"": false}, ""snap_collegemsg"": {""mean"": 0.31579499307470826, ""mcse"": 0.0, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0, ""draws"": 5, ""deterministic_draw"": false}, ""snap_email_eu"": {""mean"": 0.21560074628952605, ""mcse"": 1.3877787807814457e-17, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 1.3877787807814457e-17, ""draws"": 5, ""deterministic_draw"": false}, ""snap_mathoverflow"": {""mean"": 0.33446062322736403, ""mcse"": 0.0, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0, ""draws"": 5, ""deterministic_draw"": false}, ""sp_highschool2013"": {""mean"": 0.19543570347008532, ""mcse"": 0.0, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0, ""draws"": 5, ""deterministic_draw"": false}, ""sp_hospital"": {""mean"": 0.15500095930926444, ""mcse"": 0.0, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0, ""draws"": 5, ""deterministic_draw"": false}}"
real,S,extratrees,0.030748986169823873,0.002776786974842639,0.00625769888952637,0.028397532449548516,,1.0,0.0,0.0,"{""copenhagen_bluetooth"": {""mean"": 0.017374240437324228, ""mcse"": 0.0003858406134939364, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0003858406134939364, ""draws"": 5, ""deterministic_draw"": false}, ""snap_collegemsg"": {""mean"": 0.04578014352610214, ""mcse"": 0.00346780325119069, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.00346780325119069, ""draws"": 5, ""deterministic_draw"": false}, ""snap_email_eu"": {""mean"": 0.02614138957703651, ""mcse"": 0.002139127777882996, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.002139127777882996, ""draws"": 5, ""deterministic_draw"": false}, ""snap_mathoverflow"": {""mean"": 0.050560596391298875, ""mcse"": 0.001123667129858698, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.001123667129858698, ""draws"": 5, ""deterministic_draw"": false}, ""sp_highschool2013"": {""mean"": 0.011972819476791218, ""mcse"": 0.003705613476405578, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.003705613476405578, ""draws"": 5, ""deterministic_draw"": false}, ""sp_hospital"": {""mean"": 0.03266472761039028, ""mcse"": 0.015679127955924792, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.015679127955924792, ""draws"": 5, ""deterministic_draw"": false}}"
real,H,plugin,0.13337483020085225,0.002576684145739531,0.0415183153718807,0.08958945769761746,-0.13337483020085225,1.0,0.0,0.0,"{""copenhagen_bluetooth"": {""mean"": 0.22943736460005595, ""mcse"": 0.002593784071645258, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.002593784071645258, ""draws"": 5, ""deterministic_draw"": false}, ""snap_collegemsg"": {""mean"": 0.018235018004498928, ""mcse"": 0.004028506078271309, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.004028506078271309, ""draws"": 5, ""deterministic_draw"": false}, ""snap_email_eu"": {""mean"": 0.12154020933337635, ""mcse"": 0.00339582231607624, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.00339582231607624, ""draws"": 5, ""deterministic_draw"": false}, ""snap_mathoverflow"": {""mean"": 0.008528341047272223, ""mcse"": 0.000648198790656967, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.000648198790656967, ""draws"": 5, ""deterministic_draw"": false}, ""sp_highschool2013"": {""mean"": 0.18507305125901322, ""mcse"": 0.007328848306758857, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.007328848306758857, ""draws"": 5, ""deterministic_draw"": false}, ""sp_hospital"": {""mean"": 0.23743499696089682, ""mcse"": 0.012263542608787812, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.012263542608787812, ""draws"": 5, ""deterministic_draw"": false}}"
real,H,corrector,0.034491948317487024,0.001898822120003275,0.00846068864502095,0.04112585935076733,,1.0,0.0,0.0,"{""copenhagen_bluetooth"": {""mean"": 0.049892303191995044, ""mcse"": 0.0022747916156092987, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0022747916156092987, ""draws"": 5, ""deterministic_draw"": false}, ""snap_collegemsg"": {""mean"": 0.02571179795071451, ""mcse"": 0.003145165158046776, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.003145165158046776, ""draws"": 5, ""deterministic_draw"": false}, ""snap_email_eu"": {""mean"": 0.039240119486116665, ""mcse"": 0.0023934220583957675, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0023934220583957675, ""draws"": 5, ""deterministic_draw"": false}, ""snap_mathoverflow"": {""mean"": 0.007349139809111588, ""mcse"": 0.00080989257899041, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.00080989257899041, ""draws"": 5, ""deterministic_draw"": false}, ""sp_highschool2013"": {""mean"": 0.06416840578224062, ""mcse"": 0.0081792972357376, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0081792972357376, ""draws"": 5, ""deterministic_draw"": false}, ""sp_hospital"": {""mean"": 0.020589923684743716, ""mcse"": 0.006437924882086823, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.006437924882086823, ""draws"": 5, ""deterministic_draw"": false}}"
