stratum,arm,method,MAE2,MCSE,between_source_SE,ProfileMAE,signed_plugin_error,valid_fraction,replacement_fraction,empty_fraction,sources
real,R,plugin,0.01972175508672606,0.003828240605221928,0.008256509301033482,0.012421079129873605,-0.0018526253706734575,1.0,0.0,0.0,"{""copenhagen_bluetooth"": {""mean"": 0.015608586668310453, ""mcse"": 0.00503924289093137, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.00503924289093137, ""draws"": 5, ""deterministic_draw"": false}, ""snap_collegemsg"": {""mean"": 0.010954237027583105, ""mcse"": 0.0030732261468476843, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0030732261468476843, ""draws"": 5, ""deterministic_draw"": false}, ""snap_email_eu"": {""mean"": 0.014918967776533199, ""mcse"": 0.0050828015006363254, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0050828015006363254, ""draws"": 5, ""deterministic_draw"": false}, ""snap_mathoverflow"": {""mean"": 0.004805821899245277, ""mcse"": 0.0022215197819832147, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0022215197819832147, ""draws"": 5, ""deterministic_draw"": false}, ""sp_highschool2013"": {""mean"": 0.011789265613147203, ""mcse"": 0.00577531580776804, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.00577531580776804, ""draws"": 5, ""deterministic_draw"": false}, ""sp_hospital"": {""mean"": 0.06025365153553712, ""mcse"": 0.020703438336502917, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.020703438336502917, ""draws"": 5, ""deterministic_draw"": false}}"
real,R,corrector,0.01972175508672606,0.003828240605221928,0.008256509301033482,0.012421079129873605,,1.0,0.0,0.0,"{""copenhagen_bluetooth"": {""mean"": 0.015608586668310453, ""mcse"": 0.00503924289093137, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.00503924289093137, ""draws"": 5, ""deterministic_draw"": false}, ""snap_collegemsg"": {""mean"": 0.010954237027583105, ""mcse"": 0.0030732261468476843, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0030732261468476843, ""draws"": 5, ""deterministic_draw"": false}, ""snap_email_eu"": {""mean"": 0.014918967776533199, ""mcse"": 0.0050828015006363254, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0050828015006363254, ""draws"": 5, ""deterministic_draw"": false}, ""snap_mathoverflow"": {""mean"": 0.004805821899245277, ""mcse"": 0.0022215197819832147, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0022215197819832147, ""draws"": 5, ""deterministic_draw"": false}, ""sp_highschool2013"": {""mean"": 0.011789265613147203, ""mcse"": 0.00577531580776804, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.00577531580776804, ""draws"": 5, ""deterministic_draw"": false}, ""sp_hospital"": {""mean"": 0.06025365153553712, ""mcse"": 0.020703438336502917, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.020703438336502917, ""draws"": 5, ""deterministic_draw"": false}}"
real,R,median,0.22884872807441206,2.3129646346357427e-18,0.031963558135367505,0.1116316236469765,,1.0,0.0,0.0,"{""copenhagen_bluetooth"": {""mean"": 0.15679934307552423, ""mcse"": 0.0, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0, ""draws"": 5, ""deterministic_draw"": false}, ""snap_collegemsg"": {""mean"": 0.31579499307470826, ""mcse"": 0.0, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0, ""draws"": 5, ""deterministic_draw"": false}, ""snap_email_eu"": {""mean"": 0.21560074628952605, ""mcse"": 1.3877787807814457e-17, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 1.3877787807814457e-17, ""draws"": 5, ""deterministic_draw"": false}, ""snap_mathoverflow"": {""mean"": 0.33446062322736403, ""mcse"": 0.0, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0, ""draws"": 5, ""deterministic_draw"": false}, ""sp_highschool2013"": {""mean"": 0.19543570347008532, ""mcse"": 0.0, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0, ""draws"": 5, ""deterministic_draw"": false}, ""sp_hospital"": {""mean"": 0.15500095930926444, ""mcse"": 0.0, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0, ""draws"": 5, ""deterministic_draw"": false}}"
real,R,extratrees,0.04264921375749941,0.004503961428701024,0.008112564070037664,0.029398673798844675,,1.0,0.0,0.0,"{""copenhagen_bluetooth"": {""mean"": 0.015728374817516377, ""mcse"": 0.00043231628046026403, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.00043231628046026403, ""draws"": 5, ""deterministic_draw"": false}, ""snap_collegemsg"": {""mean"": 0.022773953595312972, ""mcse"": 0.0045883016467110896, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0045883016467110896, ""draws"": 5, ""deterministic_draw"": false}, ""snap_email_eu"": {""mean"": 0.056405631882821064, ""mcse"": 0.0016210712966757263, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0016210712966757263, ""draws"": 5, ""deterministic_draw"": false}, ""snap_mathoverflow"": {""mean"": 0.05529133545741337, ""mcse"": 0.001734040039838941, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.001734040039838941, ""draws"": 5, ""deterministic_draw"": false}, ""sp_highschool2013"": {""mean"": 0.0406504353406679, ""mcse"": 0.002272435763289371, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.002272435763289371, ""draws"": 5, ""deterministic_draw"": false}, ""sp_hospital"": {""mean"": 0.06504555145126477, ""mcse"": 0.026424343457683994, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.026424343457683994, ""draws"": 5, ""deterministic_draw"": false}}"
real,S,plugin,0.32223925257300373,0.010621630609556053,0.05479546148053902,0.27354401236202897,0.32223925257300373,1.0,0.0,0.0,"{""copenhagen_bluetooth"": {""mean"": 0.4528249641478813, ""mcse"": 0.003927003341935143, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.003927003341935143, ""draws"": 5, ""deterministic_draw"": false}, ""snap_collegemsg"": {""mean"": 0.1713219531178655, ""mcse"": 0.006670769407833562, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.006670769407833562, ""draws"": 5, ""deterministic_draw"": false}, ""snap_email_eu"": {""mean"": 0.4342970841687451, ""mcse"": 0.009958446422638781, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.009958446422638781, ""draws"": 5, ""deterministic_draw"": false}, ""snap_mathoverflow"": {""mean"": 0.16976762601441114, ""mcse"": 0.003381953714951276, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.003381953714951276, ""draws"": 5, ""deterministic_draw"": false}, ""sp_highschool2013"": {""mean"": 0.4319783831482332, ""mcse"": 0.013042855333730384, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.013042855333730384, ""draws"": 5, ""deterministic_draw"": false}, ""sp_hospital"": {""mean"": 0.27324550484088644, ""mcse"": 0.060998692313291226, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.060998692313291226, ""draws"": 5, ""deterministic_draw"": false}}"
real,S,corrector,0.09718756225700197,0.013990994964522718,0.04395092314748458,0.0436927319938443,,1.0,0.0,0.0,"{""copenhagen_bluetooth"": {""mean"": 0.05903319328148685, ""mcse"": 0.012269024693357927, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.012269024693357927, ""draws"": 5, ""deterministic_draw"": false}, ""snap_collegemsg"": {""mean"": 0.012276799810866313, ""mcse"": 0.003843253492709632, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.003843253492709632, ""draws"": 5, ""deterministic_draw"": false}, ""snap_email_eu"": {""mean"": 0.13917797541120702, ""mcse"": 0.03862497392772135, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.03862497392772135, ""draws"": 5, ""deterministic_draw"": false}, ""snap_mathoverflow"": {""mean"": 0.002456105915822404, ""mcse"": 0.0010170934177507137, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0010170934177507137, ""draws"": 5, ""deterministic_draw"": false}, ""sp_highschool2013"": {""mean"": 0.07763422401649621, ""mcse"": 0.02802817382792572, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.02802817382792572, ""draws"": 5, ""deterministic_draw"": false}, ""sp_hospital"": {""mean"": 0.292547075106133, ""mcse"": 0.06784633122801369, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.06784633122801369, ""draws"": 5, ""deterministic_draw"": false}}"
real,S,median,0.22884872807441206,2.3129646346357427e-18,0.031963558135367505,0.1116316236469765,,1.0,0.0,0.0,"{""copenhagen_bluetooth"": {""mean"": 0.15679934307552423, ""mcse"": 0.0, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0, ""draws"": 5, ""deterministic_draw"": false}, ""snap_collegemsg"": {""mean"": 0.31579499307470826, ""mcse"": 0.0, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0, ""draws"": 5, ""deterministic_draw"": false}, ""snap_email_eu"": {""mean"": 0.21560074628952605, ""mcse"": 1.3877787807814457e-17, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 1.3877787807814457e-17, ""draws"": 5, ""deterministic_draw"": false}, ""snap_mathoverflow"": {""mean"": 0.33446062322736403, ""mcse"": 0.0, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0, ""draws"": 5, ""deterministic_draw"": false}, ""sp_highschool2013"": {""mean"": 0.19543570347008532, ""mcse"": 0.0, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0, ""draws"": 5, ""deterministic_draw"": false}, ""sp_hospital"": {""mean"": 0.15500095930926444, ""mcse"": 0.0, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0, ""draws"": 5, ""deterministic_draw"": false}}"
real,S,extratrees,0.06952006247899249,0.006407176167849324,0.02221807889473695,0.03912734391985239,,1.0,0.0,0.0,"{""copenhagen_bluetooth"": {""mean"": 0.008039733527887217, ""mcse"": 0.0015948828173436985, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0015948828173436985, ""draws"": 5, ""deterministic_draw"": false}, ""snap_collegemsg"": {""mean"": 0.12323206720711281, ""mcse"": 0.004343902537090675, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.004343902537090675, ""draws"": 5, ""deterministic_draw"": false}, ""snap_email_eu"": {""mean"": 0.03987847617130199, ""mcse"": 0.009117757120327034, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.009117757120327034, ""draws"": 5, ""deterministic_draw"": false}, ""snap_mathoverflow"": {""mean"": 0.07576362828586733, ""mcse"": 0.0004625222628017087, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0004625222628017087, ""draws"": 5, ""deterministic_draw"": false}, ""sp_highschool2013"": {""mean"": 0.027046347571635522, ""mcse"": 0.00394772043705186, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.00394772043705186, ""draws"": 5, ""deterministic_draw"": false}, ""sp_hospital"": {""mean"": 0.1431601221101501, ""mcse"": 0.036844586755723684, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.036844586755723684, ""draws"": 5, ""deterministic_draw"": false}}"
real,H,plugin,0.13921183783570149,0.0005638951943041656,0.04241636028395995,0.08407305373728528,-0.13244066276967592,1.0,0.0,0.0,"{""copenhagen_bluetooth"": {""mean"": 0.23223711004078015, ""mcse"": 0.00020584268143531665, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.00020584268143531665, ""draws"": 5, ""deterministic_draw"": false}, ""snap_collegemsg"": {""mean"": 0.026173217889435836, ""mcse"": 0.0019757566224270187, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0019757566224270187, ""draws"": 5, ""deterministic_draw"": false}, ""snap_email_eu"": {""mean"": 0.13098983596113536, ""mcse"": 0.0010965748540970733, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0010965748540970733, ""draws"": 5, ""deterministic_draw"": false}, ""snap_mathoverflow"": {""mean"": 0.008006887582834129, ""mcse"": 0.00037641628439992307, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.00037641628439992307, ""draws"": 5, ""deterministic_draw"": false}, ""sp_highschool2013"": {""mean"": 0.18322447576486767, ""mcse"": 0.0, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0, ""draws"": 1, ""deterministic_draw"": true}, ""sp_hospital"": {""mean"": 0.25463949977515576, ""mcse"": 0.002481340237728759, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.002481340237728759, ""draws"": 5, ""deterministic_draw"": false}}"
real,H,corrector,0.03495337075704353,0.0005211668206072039,0.008798491743823368,0.04068372993719582,,1.0,0.0,0.0,"{""copenhagen_bluetooth"": {""mean"": 0.051589941403567985, ""mcse"": 0.00021730296092431888, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.00021730296092431888, ""draws"": 5, ""deterministic_draw"": false}, ""snap_collegemsg"": {""mean"": 0.02115866931229952, ""mcse"": 0.002022827458025988, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.002022827458025988, ""draws"": 5, ""deterministic_draw"": false}, ""snap_email_eu"": {""mean"": 0.04930827226405256, ""mcse"": 0.0005643716806433346, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0005643716806433346, ""draws"": 5, ""deterministic_draw"": false}, ""snap_mathoverflow"": {""mean"": 0.007715924390376494, ""mcse"": 0.0005281344534771338, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0005281344534771338, ""draws"": 5, ""deterministic_draw"": false}, ""sp_highschool2013"": {""mean"": 0.06067377105534549, ""mcse"": 0.0, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.0, ""draws"": 1, ""deterministic_draw"": true}, ""sp_hospital"": {""mean"": 0.019273646116619136, ""mcse"": 0.002245360077990486, ""mcse_model_repeats"": 0.0, ""mcse_sampler"": 0.002245360077990486, ""draws"": 5, ""deterministic_draw"": false}}"
