stratum,arm,config_id,mock,median3_MAE2,median3_MCSE,spread_rho2_sd_valid,spread_rho2_range_valid,observations_with_three_valid
real,R,sol,False,,,,,0
real,R,deepseek,False,,,,,0
real,R,qwen_thinking,False,0.019724317278506067,0.003827376135215122,0.0011941246382006735,0.0020687688766666615,30
real,R,qwen_nonthinking,False,,,,,0
real,S,sol,False,,,,,0
real,S,deepseek,False,,,,,0
real,S,qwen_thinking,False,0.1090402912212504,0.02137806850735521,0.09838937122996962,0.1774290812714441,30
real,S,qwen_nonthinking,False,,,,,0
real,H,sol,False,,,,,0
real,H,deepseek,False,,,,,0
real,H,qwen_thinking,False,0.13468586523769202,0.009343205887037579,0.05822379537355359,0.10379068321559211,26
real,H,qwen_nonthinking,False,,,,,0
real,B,sol,False,,,,,0
real,B,deepseek,False,,,,,0
real,B,qwen_thinking,False,0.07964233365242068,0.004619825216668198,0.11732452484200388,0.21305800755,30
real,B,qwen_nonthinking,False,,,,,0
dar_a0,R,sol,False,,,,,0
dar_a0,R,deepseek,False,,,,,0
dar_a0,R,qwen_thinking,False,0.01929956334166367,0.0048933696866991444,0.002822600350412382,0.004890687533875332,10
dar_a0,R,qwen_nonthinking,False,,,,,0
dar_a0,S,sol,False,,,,,0
dar_a0,S,deepseek,False,,,,,0
dar_a0,S,qwen_thinking,False,0.042827561285859427,0.01786640652054273,0.08583761384427419,0.14980990361788593,10
dar_a0,S,qwen_nonthinking,False,,,,,0
dar_a0,H,sol,False,,,,,0
dar_a0,H,deepseek,False,,,,,0
dar_a0,H,qwen_thinking,False,0.014959285931192244,0.003491592383855827,0.056749168497806354,0.09898095320752087,10
dar_a0,H,qwen_nonthinking,False,,,,,0
dar_a0,B,sol,False,,,,,0
dar_a0,B,deepseek,False,,,,,0
dar_a0,B,qwen_thinking,False,0.29066072410492305,0.040359887642120826,0.23655894817972783,0.430876511,10
dar_a0,B,qwen_nonthinking,False,,,,,0
dar_a08,R,sol,False,,,,,0
dar_a08,R,deepseek,False,,,,,0
dar_a08,R,qwen_thinking,False,0.0325780301978957,0.006248265514243888,0.00037482756338519857,0.0006508999999999876,10
dar_a08,R,qwen_nonthinking,False,,,,,0
dar_a08,S,sol,False,,,,,0
dar_a08,S,deepseek,False,,,,,0
dar_a08,S,qwen_thinking,False,0.060220600624183794,0.017239210871504672,0.06507009255424406,0.11374278523200002,10
dar_a08,S,qwen_nonthinking,False,,,,,0
dar_a08,H,sol,False,,,,,0
dar_a08,H,deepseek,False,,,,,0
dar_a08,H,qwen_thinking,False,0.019257241892551402,0.004437700358559206,0.006989009935650802,0.012111443784313714,10
dar_a08,H,qwen_nonthinking,False,,,,,0
dar_a08,B,sol,False,,,,,0
dar_a08,B,deepseek,False,,,,,0
dar_a08,B,qwen_thinking,False,0.3964430698209189,0.0393392526619406,0.21006428946549732,0.3950206822,10
dar_a08,B,qwen_nonthinking,False,,,,,0
ad_memoryless,R,sol,False,,,,,0
ad_memoryless,R,deepseek,False,,,,,0
ad_memoryless,R,qwen_thinking,False,0.00868076258068887,0.0016246977726629256,0.00012064567946991755,0.0002091799999999991,10
ad_memoryless,R,qwen_nonthinking,False,,,,,0
ad_memoryless,S,sol,False,,,,,0
ad_memoryless,S,deepseek,False,,,,,0
ad_memoryless,S,qwen_thinking,False,0.012863321397265481,0.0043874297109428514,0.01586138743196593,0.029467189719767722,10
ad_memoryless,S,qwen_nonthinking,False,,,,,0
ad_memoryless,H,sol,False,,,,,0
ad_memoryless,H,deepseek,False,,,,,0
ad_memoryless,H,qwen_thinking,False,0.0035890240593111295,0.0005781977182482538,0.0006088892108458326,0.0010546891783198343,10
ad_memoryless,H,qwen_nonthinking,False,,,,,0
ad_memoryless,B,sol,False,,,,,0
ad_memoryless,B,deepseek,False,,,,,0
ad_memoryless,B,qwen_thinking,False,0.03760263441822713,0.02722863552158592,0.05001733901856484,0.09660761435779032,10
ad_memoryless,B,qwen_nonthinking,False,,,,,0
ad_memory,R,sol,False,,,,,0
ad_memory,R,deepseek,False,,,,,0
ad_memory,R,qwen_thinking,False,0.02061312209388345,0.006394155375657057,6.4933029244335675e-06,1.1288979999990456e-05,10
ad_memory,R,qwen_nonthinking,False,,,,,0
ad_memory,S,sol,False,,,,,0
ad_memory,S,deepseek,False,,,,,0
ad_memory,S,qwen_thinking,False,0.06284290927457159,0.012785617137338352,0.04353854778332947,0.0786819816,10
ad_memory,S,qwen_nonthinking,False,,,,,0
ad_memory,H,sol,False,,,,,0
ad_memory,H,deepseek,False,,,,,0
ad_memory,H,qwen_thinking,False,0.015127615288146023,0.003876951501635189,0.0035222699499065997,0.006104200000000015,10
ad_memory,H,qwen_nonthinking,False,,,,,0
ad_memory,B,sol,False,,,,,0
ad_memory,B,deepseek,False,,,,,0
ad_memory,B,qwen_thinking,False,0.48470386320172043,0.02932202020666379,0.18031103850635746,0.33996,10
ad_memory,B,qwen_nonthinking,False,,,,,0
