stratum,arm,config_id,mock,source,metric,value,MCSE,valid_fraction,limit_fraction,technical_failure_fraction,replacement_fraction,empty_fraction
real,R,qwen_thinking,False,copenhagen_bluetooth,AE2,0.015612129930559533,0.005039354109767878,1.0,0.0,0.0,0.0,0.0
real,R,qwen_thinking,False,snap_collegemsg,AE2,0.012850830364310836,0.0032079181094620845,1.0,0.0,0.0,0.0,0.0
real,R,qwen_thinking,False,snap_email_eu,AE2,0.014921478353253614,0.005081994238265786,1.0,0.0,0.0,0.0,0.0
real,R,qwen_thinking,False,snap_mathoverflow,AE2,0.00478600742442522,0.002229149652422437,1.0,0.0,0.0,0.0,0.0
real,R,qwen_thinking,False,sp_highschool2013,AE2,0.010737409762805083,0.0054977423315107155,1.0,0.0,0.0,0.0,0.0
real,R,qwen_thinking,False,sp_hospital,AE2,0.06025309359730757,0.020700507524124986,1.0,0.0,0.0,0.0,0.0
real,R,qwen_thinking,False,copenhagen_bluetooth,ProfileAE,0.007524246664155036,0.0024333661855404976,1.0,0.0,0.0,0.0,0.0
real,R,qwen_thinking,False,snap_collegemsg,ProfileAE,0.006718802747290073,0.0027693017018728333,1.0,0.0,0.0,0.0,0.0
real,R,qwen_thinking,False,snap_email_eu,ProfileAE,0.017287080013280207,0.007055763075767227,1.0,0.0,0.0,0.0,0.0
real,R,qwen_thinking,False,snap_mathoverflow,ProfileAE,0.0019304400711808317,0.0007276797480152312,1.0,0.0,0.0,0.0,0.0
real,R,qwen_thinking,False,sp_highschool2013,ProfileAE,0.012520724825254955,0.0030509613322262062,1.0,0.0,0.0,0.0,0.0
real,R,qwen_thinking,False,sp_hospital,ProfileAE,0.037747243137547556,0.00527328528577851,1.0,0.0,0.0,0.0,0.0
real,R,qwen_thinking,False,copenhagen_bluetooth,delta_AE2,3.5432622490801553e-06,4.542076868749694e-06,1.0,0.0,0.0,0.0,0.0
real,R,qwen_thinking,False,snap_collegemsg,delta_AE2,0.0018965933367277338,0.0019521646578743023,1.0,0.0,0.0,0.0,0.0
real,R,qwen_thinking,False,snap_email_eu,delta_AE2,2.51057672041588e-06,6.858519374890726e-06,1.0,0.0,0.0,0.0,0.0
real,R,qwen_thinking,False,snap_mathoverflow,delta_AE2,-1.981447482005775e-05,1.953997516855169e-05,1.0,0.0,0.0,0.0,0.0
real,R,qwen_thinking,False,sp_highschool2013,delta_AE2,-0.0010518558503421205,0.001062141530211882,1.0,0.0,0.0,0.0,0.0
real,R,qwen_thinking,False,sp_hospital,delta_AE2,-5.579382295432348e-07,4.3512369194933236e-06,1.0,0.0,0.0,0.0,0.0
real,R,qwen_thinking,False,copenhagen_bluetooth,delta_ProfileAE,1.2631682493312083e-06,1.4306239592675507e-06,1.0,0.0,0.0,0.0,0.0
real,R,qwen_thinking,False,snap_collegemsg,delta_ProfileAE,0.0027326889284703753,0.0027452054744630883,1.0,0.0,0.0,0.0,0.0
real,R,qwen_thinking,False,snap_email_eu,delta_ProfileAE,0.006026398484709176,0.0037626850802877573,1.0,0.0,0.0,0.0,0.0
real,R,qwen_thinking,False,snap_mathoverflow,delta_ProfileAE,-9.90738939280107e-06,9.872783013322634e-06,1.0,0.0,0.0,0.0,0.0
real,R,qwen_thinking,False,sp_highschool2013,delta_ProfileAE,0.0004719234648994377,0.00023302675785130005,1.0,0.0,0.0,0.0,0.0
real,R,qwen_thinking,False,sp_hospital,delta_ProfileAE,-2.030397746850404e-05,1.82836677753746e-05,1.0,0.0,0.0,0.0,0.0
real,R,qwen_nonthinking,False,copenhagen_bluetooth,AE2,0.015610542890616667,0.005039228674340963,0.9333333333333333,0.0,0.0,0.06666666666666667,0.0
real,R,qwen_nonthinking,False,snap_collegemsg,AE2,0.010952828861250112,0.003080905783791251,1.0,0.0,0.0,0.0,0.0
real,R,qwen_nonthinking,False,snap_email_eu,AE2,0.0149106840453623,0.005086102756095292,0.9333333333333333,0.0,0.0,0.06666666666666667,0.0
real,R,qwen_nonthinking,False,snap_mathoverflow,AE2,0.004809550925742817,0.002220183126672906,0.9333333333333333,0.0,0.0,0.06666666666666667,0.0
real,R,qwen_nonthinking,False,sp_highschool2013,AE2,0.011792409762805078,0.005763679814433504,1.0,0.0,0.0,0.0,0.0
real,R,qwen_nonthinking,False,sp_hospital,AE2,0.060660471666010705,0.02046623091401355,0.9333333333333333,0.0,0.0,0.06666666666666667,0.0
real,R,qwen_nonthinking,False,copenhagen_bluetooth,ProfileAE,0.0075204486547564816,0.0024347025883984744,0.9333333333333333,0.0,0.0,0.06666666666666667,0.0
real,R,qwen_nonthinking,False,snap_collegemsg,ProfileAE,0.00405461070511916,0.0008480822821408235,1.0,0.0,0.0,0.0,0.0
real,R,qwen_nonthinking,False,snap_email_eu,ProfileAE,0.01126704979040285,0.0038286197322508152,0.9333333333333333,0.0,0.0,0.06666666666666667,0.0
real,R,qwen_nonthinking,False,snap_mathoverflow,ProfileAE,0.0019423312939288555,0.000722059857691231,0.9333333333333333,0.0,0.0,0.06666666666666667,0.0
real,R,qwen_nonthinking,False,sp_highschool2013,ProfileAE,0.013800935029219663,0.0028183361886186687,1.0,0.0,0.0,0.0,0.0
real,R,qwen_nonthinking,False,sp_hospital,ProfileAE,0.03813962007810845,0.006120110679742007,0.9333333333333333,0.0,0.0,0.06666666666666667,0.0
real,R,qwen_nonthinking,False,copenhagen_bluetooth,delta_AE2,1.9562223062134326e-06,1.1113672148225167e-05,0.9333333333333333,0.0,0.0,0.06666666666666667,0.0
real,R,qwen_nonthinking,False,snap_collegemsg,delta_AE2,-1.4081663329936397e-06,9.514854237079433e-06,1.0,0.0,0.0,0.0,0.0
real,R,qwen_nonthinking,False,snap_email_eu,delta_AE2,-8.283731170899422e-06,1.047810843474597e-05,0.9333333333333333,0.0,0.0,0.06666666666666667,0.0
real,R,qwen_nonthinking,False,snap_mathoverflow,delta_AE2,3.7290264975398112e-06,5.012863370755878e-06,0.9333333333333333,0.0,0.0,0.06666666666666667,0.0
real,R,qwen_nonthinking,False,sp_highschool2013,delta_AE2,3.144149657874351e-06,1.4335737670609527e-05,1.0,0.0,0.0,0.0,0.0
real,R,qwen_nonthinking,False,sp_hospital,delta_AE2,0.0004068201304735915,0.00040349053762460244,0.9333333333333333,0.0,0.0,0.06666666666666667,0.0
real,R,qwen_nonthinking,False,copenhagen_bluetooth,delta_ProfileAE,-2.534841149222482e-06,3.9001676701961036e-06,0.9333333333333333,0.0,0.0,0.06666666666666667,0.0
real,R,qwen_nonthinking,False,snap_collegemsg,delta_ProfileAE,6.849688629946453e-05,5.26888582710391e-05,1.0,0.0,0.0,0.0,0.0
real,R,qwen_nonthinking,False,snap_email_eu,delta_ProfileAE,6.368261831823929e-06,6.225034415028704e-06,0.9333333333333333,0.0,0.0,0.06666666666666667,0.0
real,R,qwen_nonthinking,False,snap_mathoverflow,delta_ProfileAE,1.9838333552227463e-06,3.2398055492216397e-06,0.9333333333333333,0.0,0.0,0.06666666666666667,0.0
real,R,qwen_nonthinking,False,sp_highschool2013,delta_ProfileAE,0.0017521336688641437,0.0007750725829422554,1.0,0.0,0.0,0.0,0.0
real,R,qwen_nonthinking,False,sp_hospital,delta_ProfileAE,0.0003720729630923842,0.001073234293028633,0.9333333333333333,0.0,0.0,0.06666666666666667,0.0
real,S,qwen_thinking,False,copenhagen_bluetooth,AE2,0.11068311764944049,0.03806832955827036,1.0,0.0,0.0,0.0,0.0
real,S,qwen_thinking,False,snap_collegemsg,AE2,0.04520146555613089,0.012440863464699588,1.0,0.0,0.0,0.0,0.0
real,S,qwen_thinking,False,snap_email_eu,AE2,0.20666340936100555,0.05966223260941753,1.0,0.0,0.0,0.0,0.0
real,S,qwen_thinking,False,snap_mathoverflow,AE2,0.015259516749636038,0.010840149650907327,1.0,0.0,0.0,0.0,0.0
real,S,qwen_thinking,False,sp_highschool2013,AE2,0.15135702770283815,0.0476747396218717,1.0,0.0,0.0,0.0,0.0
real,S,qwen_thinking,False,sp_hospital,AE2,0.30144269491645304,0.06519824146551201,1.0,0.0,0.0,0.0,0.0
real,S,qwen_thinking,False,copenhagen_bluetooth,ProfileAE,0.08068159806850665,0.037015705286210045,1.0,0.0,0.0,0.0,0.0
real,S,qwen_thinking,False,snap_collegemsg,ProfileAE,0.016248284008306278,0.0045669274042574115,1.0,0.0,0.0,0.0,0.0
real,S,qwen_thinking,False,snap_email_eu,ProfileAE,0.16973385541755456,0.061093280474063996,1.0,0.0,0.0,0.0,0.0
real,S,qwen_thinking,False,snap_mathoverflow,ProfileAE,0.006310123870775041,0.004699630170284847,1.0,0.0,0.0,0.0,0.0
real,S,qwen_thinking,False,sp_highschool2013,ProfileAE,0.12212467848350712,0.04837764309140954,1.0,0.0,0.0,0.0,0.0
real,S,qwen_thinking,False,sp_hospital,ProfileAE,0.15553922673670031,0.03010668504482603,1.0,0.0,0.0,0.0,0.0
real,S,qwen_thinking,False,copenhagen_bluetooth,delta_AE2,0.05164992436795361,0.0316814729128776,1.0,0.0,0.0,0.0,0.0
real,S,qwen_thinking,False,snap_collegemsg,delta_AE2,0.03292466574526457,0.013485056041088949,1.0,0.0,0.0,0.0,0.0
real,S,qwen_thinking,False,snap_email_eu,delta_AE2,0.06748543394979854,0.0232344334298257,1.0,0.0,0.0,0.0,0.0
real,S,qwen_thinking,False,snap_mathoverflow,delta_AE2,0.012803410833813637,0.010020950794524483,1.0,0.0,0.0,0.0,0.0
real,S,qwen_thinking,False,sp_highschool2013,delta_AE2,0.07372280368634195,0.046205776491700046,1.0,0.0,0.0,0.0,0.0
real,S,qwen_thinking,False,sp_hospital,delta_AE2,0.008895619810320067,0.013034089423370507,1.0,0.0,0.0,0.0,0.0
real,S,qwen_thinking,False,copenhagen_bluetooth,delta_ProfileAE,0.05837493804191792,0.03575767341727518,1.0,0.0,0.0,0.0,0.0
real,S,qwen_thinking,False,snap_collegemsg,delta_ProfileAE,0.01217472438906868,0.004696854176201451,1.0,0.0,0.0,0.0,0.0
real,S,qwen_thinking,False,snap_email_eu,delta_ProfileAE,0.09192412346532755,0.0390924715562744,1.0,0.0,0.0,0.0,0.0
