stratum,arm,config_id,mock,valid_fraction,limit_fraction,technical_failure_fraction,fence_fraction,other_answer_error_fraction,replacement_fraction,started_logical_requests,not_started,in_progress,empty_observations,empty_fraction,complete,AE2,AE2_MCSE,ProfileAE,ProfileAE_MCSE,delta_AE2,delta_AE2_MCSE,delta_ProfileAE,delta_ProfileAE_MCSE
real,R,sol,False,,,,,,,0,90,0,0,0.0,False,,,,,,,,
real,R,deepseek,False,,,,,,,0,90,0,0,0.0,False,,,,,,,,
real,R,qwen_thinking,False,1.0,0.0,0.0,0.0,0.0,0.0,90,0,0,0,0.0,True,0.019860158238776977,0.003819605071758623,0.01395475624311811,0.001675141089098559,0.00013840315205091808,0.0003704186781084099,0.0015336771132445023,0.00077725813300047
real,R,qwen_nonthinking,False,0.9555555555555556,0.0,0.0,0.0,0.044444444444444446,0.044444444444444446,90,0,0,0,0.0,True,0.019789414691964612,0.0037924269321000983,0.012787499258589243,0.0013665192333877846,6.765960523855434e-05,6.736284275854871e-05,0.0003664201287156361,0.00022081980656991418
real,S,sol,False,,,,,,,0,90,0,0,0.0,False,,,,,,,,
real,S,deepseek,False,,,,,,,0,90,0,0,0.0,False,,,,,,,,
real,S,qwen_thinking,False,1.0,0.0,0.0,0.0,0.0,0.0,90,0,0,0,0.0,True,0.13843453865591734,0.0181082816625334,0.09177296109755834,0.015268252776085173,0.04124697639891539,0.010711730436884693,0.048080229103714046,0.012462764469066355
real,S,qwen_nonthinking,False,0.9444444444444444,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,90,0,0,0,0.0,True,0.16257560651512576,0.01835945778533678,0.11670762723674073,0.015955886875048005,0.06538804425812379,0.019213709703626174,0.07301489524289646,0.01610244739628493
real,H,sol,False,,,,,,,0,90,0,0,0.0,False,,,,,,,,
real,H,deepseek,False,,,,,,,0,90,0,0,0.0,False,,,,,,,,
real,H,qwen_thinking,False,1.0,0.0,0.0,0.0,0.0,0.0,90,0,0,0,0.0,True,0.20825209787179563,0.024579431178595578,0.10410773397360852,0.009349660538653206,0.03774121101500904,0.024903938588353085,0.034044236085681974,0.009143436485683212
real,H,qwen_nonthinking,False,0.9555555555555556,0.0,0.0,0.0,0.044444444444444446,0.044444444444444446,90,0,0,0,0.0,True,0.2249816786400547,0.015941157632133184,0.10919542570499308,0.0060715769131264455,0.0544707917832681,0.016162365967536518,0.039131927817066536,0.006124534048074778
