substrate,family,rho_target,rep,hub_bias,rho_headline,strategy,walk_seed,budget,n_observed_events,n_restarts,unique_nodes,unique_edges,edge_revisit_rate,deg_mean_visited,deg_max_visited,discovery_rate_first_half,discovery_rate_second_half,return_time_steps_mean,walk_rho_plugin,share_edges_multi_observed,walk_rho_conditional,mean_windows_per_observed_edge,mean_window_gap_revisits,windows_covered_frac,step_dt_mean,step_dt_median
er,er_fam0,0.056968863504984,0,False,0.057,time_agnostic,0,50,49,1,44,46,0.061224489795918324,8.409090909090908,15.0,0.9583333333333334,0.92,2.3333333333333335,,,,,,,,
er,er_fam0,0.056968863504984,0,False,0.057,time_agnostic,0,100,99,1,84,86,0.13131313131313127,8.333333333333334,15.0,0.9387755102040817,0.8,1.3076923076923077,,,,,,,,
er,er_fam0,0.056968863504984,0,False,0.057,time_agnostic,0,200,199,1,160,172,0.13567839195979903,8.66875,15.0,0.8686868686868687,0.86,7.444444444444445,,,,,,,,
er,er_fam0,0.056968863504984,0,False,0.057,time_agnostic,0,400,399,1,282,323,0.19047619047619047,8.695035460992909,15.0,0.864321608040201,0.755,25.526315789473685,,,,,,,,
er,er_fam0,0.056968863504984,0,False,0.057,time_agnostic,0,800,799,1,477,623,0.22027534418022532,8.566037735849056,16.0,0.8095238095238095,0.75,77.16477272727273,,,,,,,,
er,er_fam0,0.056968863504984,0,False,0.057,time_agnostic,0,1600,1599,1,732,1165,0.27141963727329577,8.459016393442623,16.0,0.7797246558197747,0.6775,223.7442396313364,,,,,,,,
er,er_fam0,0.056968863504984,0,False,0.057,time_agnostic,0,3200,3199,1,909,1975,0.3826195686151922,8.272827282728272,16.0,0.7285803627267042,0.50625,609.4730392156863,,,,,,,,
er,er_fam0,0.056968863504984,0,False,0.057,time_agnostic,1,50,49,1,46,46,0.061224489795918324,8.565217391304348,14.0,1.0,0.88,1.0,,,,,,,,
er,er_fam0,0.056968863504984,0,False,0.057,time_agnostic,1,100,99,1,86,87,0.12121212121212122,8.837209302325581,15.0,0.9387755102040817,0.82,7.5,,,,,,,,
er,er_fam0,0.056968863504984,0,False,0.057,time_agnostic,1,200,199,1,158,166,0.16582914572864327,9.031645569620252,16.0,0.8787878787878788,0.79,5.303030303030303,,,,,,,,
er,er_fam0,0.056968863504984,0,False,0.057,time_agnostic,1,400,399,1,276,327,0.18045112781954886,8.797101449275363,16.0,0.8341708542713567,0.805,32.75,,,,,,,,
er,er_fam0,0.056968863504984,0,False,0.057,time_agnostic,1,800,799,1,486,629,0.21276595744680848,8.687242798353909,16.0,0.8195488721804511,0.755,109.71764705882353,,,,,,,,
er,er_fam0,0.056968863504984,0,False,0.057,time_agnostic,1,1600,1599,1,720,1179,0.26266416510318946,8.479166666666666,16.0,0.7872340425531915,0.6875,268.252380952381,,,,,,,,
er,er_fam0,0.056968863504984,0,False,0.057,time_agnostic,1,3200,3199,1,903,1999,0.37511722413254145,8.241417497231451,16.0,0.7373358348968105,0.5125,599.385,,,,,,,,
