case_id,family,substrate,n,rho_target,rep,strategy,budget,coverage,band,n_obs_edges,rho_true,r0.0,r0.5,r1.0,r1.5,r2.0,r2.5,r3.0,mle_uniform,mle_transfer_beta,mle_betacal_lofo,betacal_lofo_beta,floor_lofo,oracle_lofo
ba1500f0|t0.038|r0|time_agnostic_t|b400,ba1500f0,ba,1500,0.038,0,time_agnostic_t,400,0.05731951871657754,mid,343,0.038101604278074866,0.061882280899844266,0.06611975878376208,0.08048155233589249,0.11030687217620772,0.17648944789060172,0.34458120827540784,0.5872474286070789,0.061882280899844266,0.06611975878376208,0.08048155233589249,1.0,0.3060205940615649,0.10100160724896015
ba1500f0|t0.038|r0|time_agnostic_t|b1600,ba1500f0,ba,1500,0.038,0,time_agnostic_t,1600,0.21106283422459893,hi(>.15),1263,0.038101604278074866,0.03912027417549824,0.041257210342791395,0.04708977947388426,0.059977572605361185,0.08715674937796969,0.1503080788095834,0.3216560354852669,0.03912027417549824,0.041257210342791395,0.041257210342791395,0.5,0.23793946821152698,0.043249016636957856
ba1500f0|t0.038|r0|time_agnostic_t|b3200,ba1500f0,ba,1500,0.038,0,time_agnostic_t,3200,0.3699866310160428,hi(>.15),2214,0.038101604278074866,0.04568269420908311,0.04844125955110601,0.05635447279183092,0.07032141902039024,0.0997297285552804,0.15308231284843044,0.2656312916103575,0.04568269420908311,0.04844125955110601,0.04844125955110601,0.5,0.23793946821152698,0.05143387700534772
ba1500f0|t0.038|r0|time_respecting|b400,ba1500f0,ba,1500,0.038,0,time_respecting,400,0.03760026737967914,mid,225,0.038101604278074866,0.025630089626361152,0.028130877482358096,0.03536606232375794,0.04814929209901575,0.06997777264371663,0.11298437848094611,0.23409172347446738,0.025630089626361152,0.06997777264371663,0.06997777264371663,2.0,0.2946737397532253,0.15930886838249783
ba1500f0|t0.038|r0|time_respecting|b1600,ba1500f0,ba,1500,0.038,0,time_respecting,1600,0.12316176470588236,mid,737,0.038101604278074866,0.013655497101170644,0.01495754835292884,0.018985598108730573,0.026087276585641694,0.037654763365887245,0.05682376187257443,0.0923587584957718,0.013655497101170644,0.037654763365887245,0.037654763365887245,2.0,0.2946737397532253,0.05881900333869915
ba1500f0|t0.038|r0|time_respecting|b3200,ba1500f0,ba,1500,0.038,0,time_respecting,3200,0.1993649732620321,hi(>.15),1193,0.038101604278074866,0.013617548241268818,0.014139456890765345,0.01572591078657337,0.019762962239981197,0.027501851662157017,0.04067994047727708,0.06275072892597244,0.013617548241268818,0.027501851662157017,0.027501851662157017,2.0,0.2379394682115271,0.05103668449197866
ba1500f0|t0.073|r0|time_agnostic_t|b400,ba1500f0,ba,1500,0.0728,0,time_agnostic_t,400,0.05731951871657754,mid,343,0.07302807486631016,1.9243933813140046e-06,4.4342630868277055e-06,3.955314121995013e-05,0.0007159786747280572,0.011191611301801574,0.08382563420075584,0.27505231015349974,1.9243933813140046e-06,4.4342630868277055e-06,3.955314121995013e-05,1.0,0.3060205940615649,0.08236301247771834
ba1500f0|t0.073|r0|time_agnostic_t|b1600,ba1500f0,ba,1500,0.0728,0,time_agnostic_t,1600,0.21106283422459893,hi(>.15),1263,0.07302807486631016,0.0326419846036865,0.03447058851449736,0.03945904041894732,0.05009050388867131,0.07277161183286407,0.12742115410471644,0.2858739058969574,0.0326419846036865,0.03447058851449736,0.03447058851449736,0.5,0.23793946821152698,0.05235887700534766
ba1500f0|t0.073|r0|time_agnostic_t|b3200,ba1500f0,ba,1500,0.0728,0,time_agnostic_t,3200,0.3699866310160428,hi(>.15),2214,0.07302807486631016,0.04519469811652976,0.04754541341075236,0.05414008587151886,0.06910459142817138,0.09924009237251785,0.1525840669879147,0.2645469011386905,0.04519469811652976,0.04754541341075236,0.04754541341075236,0.5,0.23793946821152698,0.06820185977421275
ba1500f0|t0.073|r0|time_respecting|b400,ba1500f0,ba,1500,0.0728,0,time_respecting,400,0.038101604278074866,mid,228,0.07302807486631016,0.022573727475437844,0.024877085159298873,0.03150021526803426,0.04308379319173894,0.06270350099458588,0.09921180687872644,0.19881242967787494,0.022573727475437844,0.06270350099458588,0.06270350099458588,2.0,0.2946737397532253,0.09105895281716918
ba1500f0|t0.073|r0|time_respecting|b1600,ba1500f0,ba,1500,0.0728,0,time_respecting,1600,0.12433155080213903,mid,744,0.07302807486631016,0.030233034716198537,0.03184266664708457,0.03819078166970169,0.0510388549326225,0.07321952011210009,0.11054032473305564,0.1774698457351992,0.030233034716198537,0.07321952011210009,0.07321952011210009,2.0,0.2946737397532253,0.12903680459028818
ba1500f0|t0.073|r0|time_respecting|b3200,ba1500f0,ba,1500,0.0728,0,time_respecting,3200,0.20070187165775402,hi(>.15),1201,0.07302807486631016,0.04118213871693788,0.042722474549330314,0.04767266108445267,0.061510474620340316,0.08777975177910124,0.1319242699960157,0.20528038283851546,0.04118213871693788,0.08777975177910124,0.08777975177910124,2.0,0.2379394682115271,0.0913024747474748
ba1500f0|t0.076|r0|time_agnostic_t|b400,ba1500f0,ba,1500,0.076,0,time_agnostic_t,400,0.05731951871657754,mid,343,0.07620320855614973,0.061882280899844266,0.06611975878376208,0.08048155233589249,0.11030687217620783,0.17648944789060284,0.3445812082754044,0.5872474286070789,0.061882280899844266,0.06611975878376208,0.08048155233589249,1.0,0.3060205940615649,0.10100160724896015
ba1500f0|t0.076|r0|time_agnostic_t|b1600,ba1500f0,ba,1500,0.076,0,time_agnostic_t,1600,0.21106283422459893,hi(>.15),1263,0.07620320855614973,0.042563644131505485,0.04615770010571796,0.05713898622803737,0.07790643341143533,0.11494078724203638,0.19453931827985071,0.38866430647317973,0.042563644131505485,0.04615770010571796,0.04615770010571796,0.5,0.23793946821152698,0.04048013368983956
