summary_type,W,mechanism,target_event_fraction,n_cells,median_normalized_profile_error,rank_lowest_error_first,mechanism_ordering,same_ordering_as_W5,share_dataset_severity_cells_same_ordering_as_W5
mechanism,4,node_panel_full_history,all,16,0.00408776482293396,2,simple_random_walk_full_history < node_panel_full_history < sampled_event_stream < recency_truncation,True,NA
mechanism,4,recency_truncation,all,16,0.10190218997766282,4,simple_random_walk_full_history < node_panel_full_history < sampled_event_stream < recency_truncation,True,NA
mechanism,4,sampled_event_stream,all,16,0.013972867225719554,3,simple_random_walk_full_history < node_panel_full_history < sampled_event_stream < recency_truncation,True,NA
mechanism,4,simple_random_walk_full_history,all,16,0.0025399952256889118,1,simple_random_walk_full_history < node_panel_full_history < sampled_event_stream < recency_truncation,True,NA
severity,4,all,0.25,32,0.008796422692254675,NA,NA,NA,NA
mechanism_within_severity,4,node_panel_full_history,0.25,8,0.00408776482293396,2,simple_random_walk_full_history < node_panel_full_history < sampled_event_stream < recency_truncation,True,NA
mechanism_within_severity,4,recency_truncation,0.25,8,0.1597069285550662,4,simple_random_walk_full_history < node_panel_full_history < sampled_event_stream < recency_truncation,True,NA
mechanism_within_severity,4,sampled_event_stream,0.25,8,0.018677171962233768,3,simple_random_walk_full_history < node_panel_full_history < sampled_event_stream < recency_truncation,True,NA
mechanism_within_severity,4,simple_random_walk_full_history,0.25,8,0.003286221191182415,1,simple_random_walk_full_history < node_panel_full_history < sampled_event_stream < recency_truncation,True,NA
severity,4,all,0.5,32,0.006514307925677657,NA,NA,NA,NA
mechanism_within_severity,4,node_panel_full_history,0.5,8,0.0035644692159305562,2,simple_random_walk_full_history < node_panel_full_history < sampled_event_stream < recency_truncation,True,NA
mechanism_within_severity,4,recency_truncation,0.5,8,0.08153715504892342,4,simple_random_walk_full_history < node_panel_full_history < sampled_event_stream < recency_truncation,True,NA
mechanism_within_severity,4,sampled_event_stream,0.5,8,0.008124374421921352,3,simple_random_walk_full_history < node_panel_full_history < sampled_event_stream < recency_truncation,True,NA
mechanism_within_severity,4,simple_random_walk_full_history,0.5,8,0.0019758237988651943,1,simple_random_walk_full_history < node_panel_full_history < sampled_event_stream < recency_truncation,True,NA
