instance_id,group_id,arm,budget,p_empty,largest_entity_events,expected_seed_advances_per_slot
real__snap_bitcoin_otc,real::snap_bitcoin_otc,node_panel_full_history,2500,0.0,1298,0.0
real__snap_bitcoin_otc,real::snap_bitcoin_otc,event_sample_then_full_history,9600,0.0,2,0.0
real__snap_collegemsg,real::snap_collegemsg,node_panel_full_history,2500,0.0,1546,0.0
real__snap_collegemsg,real::snap_collegemsg,event_sample_then_full_history,9600,0.0,184,0.0
real__snap_email_eu,real::snap_email_eu,node_panel_full_history,2500,0.058823529411764705,10571,0.0625
real__snap_email_eu,real::snap_email_eu,event_sample_then_full_history,9600,0.0,4992,0.0
real__snap_mathoverflow,real::snap_mathoverflow,node_panel_full_history,2500,0.0010097338341613152,7421,0.001010754427104391
real__snap_mathoverflow,real::snap_mathoverflow,event_sample_then_full_history,9600,0.0,325,0.0
real__sp_highschool2013,real::sp_highschool2013,node_panel_full_history,2500,0.0764525993883792,4647,0.08278145695364238
real__sp_highschool2013,real::sp_highschool2013,event_sample_then_full_history,9600,0.0,2949,0.0
real__sp_hospital,real::sp_hospital,node_panel_full_history,2500,0.06666666666666667,4286,0.07142857142857142
real__sp_hospital,real::sp_hospital,event_sample_then_full_history,9600,0.0,1059,0.0
real__sp_hypertext2009,real::sp_hypertext2009,node_panel_full_history,2500,0.0,1483,0.0
real__sp_hypertext2009,real::sp_hypertext2009,event_sample_then_full_history,9600,0.0,1281,0.0
real__sp_primaryschool,real::sp_primaryschool,node_panel_full_history,2500,0.008264462809917356,2594,0.008333333333333333
real__sp_primaryschool,real::sp_primaryschool,event_sample_then_full_history,9600,0.0,764,0.0
dar__dcsbm__n1500__f0__a0.1__c0.15,dar::dcsbm::n1500::f0,node_panel_full_history,2500,0.0,208,0.0
dar__dcsbm__n1500__f0__a0.1__c0.15,dar::dcsbm::n1500::f0,event_sample_then_full_history,9600,0.0,16,0.0
dar__dcsbm__n1500__f0__a0.9__c0.15,dar::dcsbm::n1500::f0,node_panel_full_history,2500,0.0,207,0.0
dar__dcsbm__n1500__f0__a0.9__c0.15,dar::dcsbm::n1500::f0,event_sample_then_full_history,9600,0.0,19,0.0
dar__dcsbm__n500__f0__a0.1__c0.15,dar::dcsbm::n500::f0,node_panel_full_history,2500,0.0,136,0.0
