case_id,instance_id,group_id,coverage,p_arm_b,actual_arm,stated_arm,p_stated,mismatch_detectability
real__snap_bitcoin_otc|time_agnostic_t|ws0|b800,real__snap_bitcoin_otc,real::snap_bitcoin_otc,0.0311743904708728,0.028302844995724878,time_agnostic_t,event_sample_then_full_history,0.028302844995724878,0.9716971550042751
real__snap_collegemsg|time_agnostic_t|ws0|b800,real__snap_collegemsg,real::snap_collegemsg,0.0532591414944356,0.0710339157632592,time_agnostic_t,event_sample_then_full_history,0.0710339157632592,0.9289660842367408
real__snap_email_eu|time_agnostic_t|ws0|b800,real__snap_email_eu,real::snap_email_eu,0.0465637450199203,0.10364503532342233,time_agnostic_t,event_sample_then_full_history,0.10364503532342233,0.8963549646765777
real__snap_mathoverflow|time_agnostic_t|ws0|b800,real__snap_mathoverflow,real::snap_mathoverflow,0.0039417828987265,0.08790703362551525,time_agnostic_t,event_sample_then_full_history,0.08790703362551525,0.9120929663744848
real__sp_highschool2013|time_agnostic_t|ws0|b800,real__sp_highschool2013,real::sp_highschool2013,0.1244413887933997,0.11360563506903765,time_agnostic_t,event_sample_then_full_history,0.11360563506903765,0.8863943649309624
real__sp_hospital|time_agnostic_t|ws0|b800,real__sp_hospital,real::sp_hospital,0.4653204565408252,0.180825423125789,time_agnostic_t,event_sample_then_full_history,0.180825423125789,0.819174576874211
real__sp_hypertext2009|time_agnostic_t|ws0|b800,real__sp_hypertext2009,real::sp_hypertext2009,0.302367941712204,0.15303526860162192,time_agnostic_t,event_sample_then_full_history,0.15303526860162192,0.8469647313983781
real__sp_primaryschool|time_agnostic_t|ws0|b800,real__sp_primaryschool,real::sp_primaryschool,0.090176746422989,0.1377308136613157,time_agnostic_t,event_sample_then_full_history,0.1377308136613157,0.8622691863386843
dar__dcsbm__n1500__f0__a0.1__c0.15|time_agnostic_t|ws0|b800,dar__dcsbm__n1500__f0__a0.1__c0.15,dar::dcsbm::n1500::f0,0.0771374428714747,0.10280249266308962,time_agnostic_t,event_sample_then_full_history,0.10280249266308962,0.8971975073369104
dar__dcsbm__n1500__f0__a0.9__c0.15|time_agnostic_t|ws0|b800,dar__dcsbm__n1500__f0__a0.9__c0.15,dar::dcsbm::n1500::f0,0.1655234118699672,0.4714144228700863,time_agnostic_t,event_sample_then_full_history,0.4714144228700863,0.5285855771299137
dar__dcsbm__n500__f0__a0.1__c0.15|time_agnostic_t|ws0|b800,dar__dcsbm__n500__f0__a0.1__c0.15,dar::dcsbm::n500::f0,0.2354694485842026,0.13348018476390383,time_agnostic_t,event_sample_then_full_history,0.13348018476390383,0.8665198152360962
dar__dcsbm__n500__f0__a0.9__c0.15|time_agnostic_t|ws0|b800,dar__dcsbm__n500__f0__a0.9__c0.15,dar::dcsbm::n500::f0,0.470648815653965,0.6817292194961951,time_agnostic_t,event_sample_then_full_history,0.6817292194961951,0.31827078050380486
activity__n1500__f0__beta1|time_agnostic_t|ws0|b800,activity__n1500__f0__beta1,activity::n1500::f0,0.1089796593352075,0.11385898904470938,time_agnostic_t,event_sample_then_full_history,0.11385898904470938,0.8861410109552906
