arm,condition,cases,median_portable,p90_portable,median_qwen_est,max_qwen_est
event_sample_then_full_history,hidden,32,860,1358,1431,2971
event_sample_then_full_history,direction_only,32,897,1395,1492,3033
event_sample_then_full_history,mechanism,32,998,1496,1660,3201
event_sample_then_full_history,mechanism_direction,32,1035,1533,1722,3263
event_sample_then_full_history,mismatched,32,970,1468,1614,3154
event_sample_then_full_history,metadata_only,32,447,447,744,744
event_sample_then_full_history,irrelevant_context,32,1003,1501,1669,3209
node_panel_full_history,hidden,32,762,962,1268,1747
node_panel_full_history,direction_only,32,799,999,1329,1808
node_panel_full_history,mechanism,32,886,1086,1474,1953
node_panel_full_history,mechanism_direction,32,923,1123,1536,2015
node_panel_full_history,metadata_only,32,447,447,744,744
node_panel_full_history,irrelevant_context,32,905,1105,1506,1985
recent_history_k20,hidden,32,654,727,1088,1288
recent_history_k20,direction_only,32,691,764,1150,1349
recent_history_k20,mechanism,32,798,871,1328,1527
recent_history_k20,mechanism_direction,32,835,908,1389,1589
recent_history_k20,metadata_only,32,447,447,744,744
recent_history_k20,irrelevant_context,32,797,870,1326,1526
time_agnostic_t,hidden,32,562,652,935,1248
time_agnostic_t,direction_only,32,599,689,997,1309
time_agnostic_t,mechanism,32,672,762,1118,1431
time_agnostic_t,mechanism_direction,32,709,799,1180,1492
time_agnostic_t,mismatched,32,700,790,1165,1477
time_agnostic_t,metadata_only,32,447,447,744,744
time_agnostic_t,irrelevant_context,32,705,795,1173,1486
time_respecting,hidden,32,596,638,992,1068
time_respecting,direction_only,32,633,675,1053,1130
time_respecting,mechanism,32,727,769,1210,1286
time_respecting,mechanism_direction,32,764,806,1271,1348
time_respecting,metadata_only,32,447,447,744,744
time_respecting,irrelevant_context,32,739,781,1229,1306
