case_id,instance_id,group_id,strategy,coverage,delta_i
activity__n1500__f0__beta1|event_sample_then_full_history|ss0|b9600,activity__n1500__f0__beta1,activity::n1500::f0,event_sample_then_full_history,0.1413924259963618,-0.3005434041528494
activity__n1500__f0__beta1|node_panel_full_history|ss0|b2500,activity__n1500__f0__beta1,activity::n1500::f0,node_panel_full_history,0.0924425334876798,-0.013690314362183154
activity__n1500__f0__beta1|recent_history_k20|ws0|b800,activity__n1500__f0__beta1,activity::n1500::f0,recent_history_k20,0.0768976351910038,0.42611194389468876
activity__n1500__f0__beta1|time_agnostic_t|ws0|b800,activity__n1500__f0__beta1,activity::n1500::f0,time_agnostic_t,0.1073259467504547,0.49652631173934636
activity__n1500__f0__beta1|time_respecting|ws0|b800,activity__n1500__f0__beta1,activity::n1500::f0,time_respecting,0.0764015214155779,0.4965629982167109
activity__n1500__f0__memoryless|event_sample_then_full_history|ss0|b9600,activity__n1500__f0__memoryless,activity::n1500::f0,event_sample_then_full_history,0.3375926859117414,-0.0083547334923867
activity__n1500__f0__memoryless|node_panel_full_history|ss0|b2500,activity__n1500__f0__memoryless,activity::n1500::f0,node_panel_full_history,0.0866388308977035,0.0019103120422082013
activity__n1500__f0__memoryless|recent_history_k20|ws0|b800,activity__n1500__f0__memoryless,activity::n1500::f0,recent_history_k20,0.0236484054423727,0.0095282503360859
activity__n1500__f0__memoryless|time_agnostic_t|ws0|b800,activity__n1500__f0__memoryless,activity::n1500::f0,time_agnostic_t,0.0276078036138506,0.0110503203513066
activity__n1500__f0__memoryless|time_respecting|ws0|b800,activity__n1500__f0__memoryless,activity::n1500::f0,time_respecting,0.0206248650205168,0.0110503203513066
activity__n500__f0__beta1|event_sample_then_full_history|ss0|b9600,activity__n500__f0__beta1,activity::n500::f0,event_sample_then_full_history,0.9640924741760944,-0.01993786201150405
activity__n500__f0__beta1|node_panel_full_history|ss0|b2500,activity__n500__f0__beta1,activity::n500::f0,node_panel_full_history,0.2700442695523856,0.0016951627831132132
activity__n500__f0__beta1|recent_history_k20|ws0|b800,activity__n500__f0__beta1,activity::n500::f0,recent_history_k20,0.1854402361042794,0.30011572971696454
activity__n500__f0__beta1|time_agnostic_t|ws0|b800,activity__n500__f0__beta1,activity::n500::f0,time_agnostic_t,0.2710280373831775,0.4320436928608986
activity__n500__f0__beta1|time_respecting|ws0|b800,activity__n500__f0__beta1,activity::n500::f0,time_respecting,0.1923266109198229,0.42716532709022365
activity__n500__f0__memoryless|event_sample_then_full_history|ss0|b9600,activity__n500__f0__memoryless,activity::n500::f0,event_sample_then_full_history,0.9597435358419172,-0.0014430716227792004
activity__n500__f0__memoryless|node_panel_full_history|ss0|b2500,activity__n500__f0__memoryless,activity::n500::f0,node_panel_full_history,0.2493167963001892,-0.0008463607903999026
activity__n500__f0__memoryless|recent_history_k20|ws0|b800,activity__n500__f0__memoryless,activity::n500::f0,recent_history_k20,0.0653773386588185,0.0364103805054255
activity__n500__f0__memoryless|time_agnostic_t|ws0|b800,activity__n500__f0__memoryless,activity::n500::f0,time_agnostic_t,0.0794618457010721,0.0396258145890267
activity__n500__f0__memoryless|time_respecting|ws0|b800,activity__n500__f0__memoryless,activity::n500::f0,time_respecting,0.0547614042463737,0.037706428792481594
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0,real::snap_bitcoin_otc,event_sample_then_full_history,0.250930578820026,-0.024286002054969308
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss0|b2500,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0,real::snap_bitcoin_otc,node_panel_full_history,0.0702121719709659,-0.0022824156864138245
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|recent_history_k20|ws0|b800,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0,real::snap_bitcoin_otc,recent_history_k20,0.0283826540107947,0.12300085735294569
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0,real::snap_bitcoin_otc,time_agnostic_t,0.0319188535268937,0.12044864208744839
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|time_respecting|ws0|b800,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0,real::snap_bitcoin_otc,time_respecting,0.0213567839195979,0.08924250884049878
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.55__r0,real::snap_bitcoin_otc,event_sample_then_full_history,0.2499069421179973,-0.09788206948393474
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.55__r0|node_panel_full_history|ss0|b2500,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.55__r0,real::snap_bitcoin_otc,node_panel_full_history,0.068071840684906,0.01224633458169555
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.55__r0|recent_history_k20|ws0|b800,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.55__r0,real::snap_bitcoin_otc,recent_history_k20,0.0274520751907686,0.43645014147952566
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.55__r0,real::snap_bitcoin_otc,time_agnostic_t,0.0300111669458403,0.42993325802137294
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.55__r0|time_respecting|ws0|b800,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.55__r0,real::snap_bitcoin_otc,time_respecting,0.021217197096594,0.45220987980839866
controlled__snap_collegemsg__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600,controlled__snap_collegemsg__bursty__contiguous__rho0.15__r0,real::snap_collegemsg,event_sample_then_full_history,0.0445151033386327,-0.045039022980199406
controlled__snap_collegemsg__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss0|b2500,controlled__snap_collegemsg__bursty__contiguous__rho0.15__r0,real::snap_collegemsg,node_panel_full_history,0.0371440959676253,0.04502995473469269
controlled__snap_collegemsg__bursty__contiguous__rho0.15__r0|recent_history_k20|ws0|b800,controlled__snap_collegemsg__bursty__contiguous__rho0.15__r0,real::snap_collegemsg,recent_history_k20,0.0344702991761815,0.13766061490811768
controlled__snap_collegemsg__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800,controlled__snap_collegemsg__bursty__contiguous__rho0.15__r0,real::snap_collegemsg,time_agnostic_t,0.0522474346003757,0.1384609141504431
controlled__snap_collegemsg__bursty__contiguous__rho0.15__r0|time_respecting|ws0|b800,controlled__snap_collegemsg__bursty__contiguous__rho0.15__r0,real::snap_collegemsg,time_respecting,0.0273160861396155,0.07142321848204199
controlled__snap_collegemsg__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600,controlled__snap_collegemsg__bursty__contiguous__rho0.55__r0,real::snap_collegemsg,event_sample_then_full_history,0.0437201907790143,-0.2106938732607181
controlled__snap_collegemsg__bursty__contiguous__rho0.55__r0|node_panel_full_history|ss0|b2500,controlled__snap_collegemsg__bursty__contiguous__rho0.55__r0,real::snap_collegemsg,node_panel_full_history,0.0409018644312762,-0.0014861519746158791
