model,arm,direction_named,cases,hidden_bias,disclosed_bias,bias_shift
deepseek-v4-pro_nothink,recent_history_k20,True,28,-0.21527536105641681,-0.15315083061266035,0.06212453044375646
deepseek-v4-pro_nothink,time_agnostic_t,False,27,-0.26825774479917447,-0.12710522064458513,0.14115252415458934
deepseek-v4-pro_nothink,time_respecting,True,27,-0.18660221063721452,-0.10944832174832562,0.0771538888888889
gemini-3.1-flash-lite_minimal,recent_history_k20,True,28,-0.10784469026178317,-0.05426574289336212,0.05357894736842104
gemini-3.1-flash-lite_minimal,time_agnostic_t,False,28,-0.16417314115421786,-0.18635568083675755,-0.022182539682539682
gemini-3.1-flash-lite_minimal,time_respecting,True,28,-0.13412521889314843,-0.051416330004259575,0.08270888888888889
gemini-3.1-flash-lite_think,recent_history_k20,True,28,-0.20053942710388842,-0.2623096025424849,-0.0617701754385965
gemini-3.1-flash-lite_think,time_agnostic_t,False,28,-0.32908200358808026,-0.2355531676092443,0.09352883597883599
gemini-3.1-flash-lite_think,time_respecting,True,28,-0.2568113300042596,-0.2306029966709263,0.02620833333333334
mistral-small-4_high,recent_history_k20,True,28,-0.2190034621916077,-0.22494890078809898,-0.005945438596491226
mistral-small-4_high,time_agnostic_t,False,28,-0.346173483179917,0.16511739172560078,0.5112908749055178
mistral-small-4_high,time_respecting,True,28,-0.33780810778203735,-0.09894133000425959,0.2388667777777778
mistral-small-4_none,recent_history_k20,True,28,-0.23170784815652,-0.1746157428933621,0.05709210526315789
mistral-small-4_none,time_agnostic_t,False,28,-0.23568609088966758,-0.2166075767803201,0.019078514109347435
mistral-small-4_none,time_respecting,True,28,-0.20002446889314848,-0.2626685237364533,-0.06264405484330483
