instance_id,arm,seed_slots,seeds_scanned,seed_advances,highest_seed_index_used,accepted_seed_indices
activity__n1500__f0__beta1,event_sample_then_full_history,4,4,0,3,"[0, 1, 2, 3]"
activity__n1500__f0__beta1,node_panel_full_history,4,4,0,3,"[0, 1, 2, 3]"
activity__n1500__f0__beta1,recent_history_k20,4,4,0,3,"[0, 1, 2, 3]"
activity__n1500__f0__beta1,time_agnostic_t,4,4,0,3,"[0, 1, 2, 3]"
activity__n1500__f0__beta1,time_respecting,4,4,0,3,"[0, 1, 2, 3]"
activity__n1500__f0__memoryless,event_sample_then_full_history,4,4,0,3,"[0, 1, 2, 3]"
activity__n1500__f0__memoryless,node_panel_full_history,4,4,0,3,"[0, 1, 2, 3]"
activity__n1500__f0__memoryless,recent_history_k20,4,4,0,3,"[0, 1, 2, 3]"
activity__n1500__f0__memoryless,time_agnostic_t,4,4,0,3,"[0, 1, 2, 3]"
activity__n1500__f0__memoryless,time_respecting,4,4,0,3,"[0, 1, 2, 3]"
activity__n500__f0__beta1,event_sample_then_full_history,4,4,0,3,"[0, 1, 2, 3]"
activity__n500__f0__beta1,node_panel_full_history,4,4,0,3,"[0, 1, 2, 3]"
activity__n500__f0__beta1,recent_history_k20,4,4,0,3,"[0, 1, 2, 3]"
activity__n500__f0__beta1,time_agnostic_t,4,4,0,3,"[0, 1, 2, 3]"
activity__n500__f0__beta1,time_respecting,4,4,0,3,"[0, 1, 2, 3]"
activity__n500__f0__memoryless,event_sample_then_full_history,4,4,0,3,"[0, 1, 2, 3]"
activity__n500__f0__memoryless,node_panel_full_history,4,4,0,3,"[0, 1, 2, 3]"
activity__n500__f0__memoryless,recent_history_k20,4,4,0,3,"[0, 1, 2, 3]"
activity__n500__f0__memoryless,time_agnostic_t,4,4,0,3,"[0, 1, 2, 3]"
activity__n500__f0__memoryless,time_respecting,4,4,0,3,"[0, 1, 2, 3]"
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0,event_sample_then_full_history,4,4,0,3,"[0, 1, 2, 3]"
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0,node_panel_full_history,4,4,0,3,"[0, 1, 2, 3]"
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0,recent_history_k20,4,4,0,3,"[0, 1, 2, 3]"
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0,time_agnostic_t,4,4,0,3,"[0, 1, 2, 3]"
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0,time_respecting,4,4,0,3,"[0, 1, 2, 3]"
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.55__r0,event_sample_then_full_history,4,4,0,3,"[0, 1, 2, 3]"
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.55__r0,node_panel_full_history,4,4,0,3,"[0, 1, 2, 3]"
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.55__r0,recent_history_k20,4,4,0,3,"[0, 1, 2, 3]"
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.55__r0,time_agnostic_t,4,4,0,3,"[0, 1, 2, 3]"
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.55__r0,time_respecting,4,4,0,3,"[0, 1, 2, 3]"
controlled__snap_collegemsg__bursty__contiguous__rho0.15__r0,event_sample_then_full_history,4,4,0,3,"[0, 1, 2, 3]"
controlled__snap_collegemsg__bursty__contiguous__rho0.15__r0,node_panel_full_history,4,4,0,3,"[0, 1, 2, 3]"
controlled__snap_collegemsg__bursty__contiguous__rho0.15__r0,recent_history_k20,4,4,0,3,"[0, 1, 2, 3]"
controlled__snap_collegemsg__bursty__contiguous__rho0.15__r0,time_agnostic_t,4,4,0,3,"[0, 1, 2, 3]"
controlled__snap_collegemsg__bursty__contiguous__rho0.15__r0,time_respecting,4,4,0,3,"[0, 1, 2, 3]"
controlled__snap_collegemsg__bursty__contiguous__rho0.55__r0,event_sample_then_full_history,4,4,0,3,"[0, 1, 2, 3]"
controlled__snap_collegemsg__bursty__contiguous__rho0.55__r0,node_panel_full_history,4,4,0,3,"[0, 1, 2, 3]"
controlled__snap_collegemsg__bursty__contiguous__rho0.55__r0,recent_history_k20,4,4,0,3,"[0, 1, 2, 3]"
controlled__snap_collegemsg__bursty__contiguous__rho0.55__r0,time_agnostic_t,4,4,0,3,"[0, 1, 2, 3]"
controlled__snap_collegemsg__bursty__contiguous__rho0.55__r0,time_respecting,4,4,0,3,"[0, 1, 2, 3]"
controlled__snap_email_eu__bursty__contiguous__rho0.15__r0,event_sample_then_full_history,4,4,0,3,"[0, 1, 2, 3]"
controlled__snap_email_eu__bursty__contiguous__rho0.15__r0,node_panel_full_history,4,4,0,3,"[0, 1, 2, 3]"
controlled__snap_email_eu__bursty__contiguous__rho0.15__r0,recent_history_k20,4,4,0,3,"[0, 1, 2, 3]"
controlled__snap_email_eu__bursty__contiguous__rho0.15__r0,time_agnostic_t,4,4,0,3,"[0, 1, 2, 3]"
controlled__snap_email_eu__bursty__contiguous__rho0.15__r0,time_respecting,4,4,0,3,"[0, 1, 2, 3]"
controlled__snap_email_eu__bursty__contiguous__rho0.55__r0,event_sample_then_full_history,4,4,0,3,"[0, 1, 2, 3]"
