case_id,instance_id,group_id,strategy,coverage,rho_W5_k2,oracle__seen_label_rho_k2,est__plugin_rho_k2,selection,censoring,total_bias
activity__n1500__f0__beta1|event_sample_then_full_history|ss0|b9600,activity__n1500__f0__beta1,activity::n1500::f0,event_sample_then_full_history,0.1413924259963618,0.5766495783032909,0.8771929824561403,0.8771929824561403,0.3005434041528494,0.0,0.3005434041528494
activity__n1500__f0__beta1|node_panel_full_history|ss0|b2500,activity__n1500__f0__beta1,activity::n1500::f0,node_panel_full_history,0.0924425334876798,0.5766495783032909,0.590339892665474,0.590339892665474,0.013690314362183154,0.0,0.013690314362183154
activity__n1500__f0__beta1|recent_history_k20|ws0|b800,activity__n1500__f0__beta1,activity::n1500::f0,recent_history_k20,0.0768976351910038,0.5766495783032909,0.8451612903225807,0.1505376344086021,0.2685117120192898,-0.6946236559139786,-0.42611194389468876
activity__n1500__f0__beta1|time_agnostic_t|ws0|b800,activity__n1500__f0__beta1,activity::n1500::f0,time_agnostic_t,0.1073259467504547,0.5766495783032909,0.5608628659476117,0.0801232665639445,-0.01578671235567919,-0.48073959938366717,-0.49652631173934636
activity__n1500__f0__beta1|time_respecting|ws0|b800,activity__n1500__f0__beta1,activity::n1500::f0,time_respecting,0.0764015214155779,0.5766495783032909,0.8398268398268398,0.08008658008658,0.2631772615235489,-0.7597402597402598,-0.4965629982167109
activity__n1500__f0__memoryless|event_sample_then_full_history|ss0|b9600,activity__n1500__f0__memoryless,activity::n1500::f0,event_sample_then_full_history,0.3375926859117414,0.0110503203513066,0.0194050538436933,0.0194050538436933,0.0083547334923867,0.0,0.0083547334923867
activity__n1500__f0__memoryless|node_panel_full_history|ss0|b2500,activity__n1500__f0__memoryless,activity::n1500::f0,node_panel_full_history,0.0866388308977035,0.0110503203513066,0.0091400083090984,0.0091400083090984,-0.0019103120422082013,0.0,-0.0019103120422082013
activity__n1500__f0__memoryless|recent_history_k20|ws0|b800,activity__n1500__f0__memoryless,activity::n1500::f0,recent_history_k20,0.0236484054423727,0.0110503203513066,0.0243531202435312,0.0015220700152207,0.0133027998922246,-0.0228310502283105,-0.0095282503360859
activity__n1500__f0__memoryless|time_agnostic_t|ws0|b800,activity__n1500__f0__memoryless,activity::n1500::f0,time_agnostic_t,0.0276078036138506,0.0110503203513066,0.0117340286831812,0.0,0.0006837083318745989,-0.0117340286831812,-0.0110503203513066
activity__n1500__f0__memoryless|time_respecting|ws0|b800,activity__n1500__f0__memoryless,activity::n1500::f0,time_respecting,0.0206248650205168,0.0110503203513066,0.0157068062827225,0.0,0.004656485931415898,-0.0157068062827225,-0.0110503203513066
activity__n500__f0__beta1|event_sample_then_full_history|ss0|b9600,activity__n500__f0__beta1,activity::n500::f0,event_sample_then_full_history,0.9640924741760944,0.5627151992129857,0.5826530612244898,0.5826530612244898,0.01993786201150405,0.0,0.01993786201150405
activity__n500__f0__beta1|node_panel_full_history|ss0|b2500,activity__n500__f0__beta1,activity::n500::f0,node_panel_full_history,0.2700442695523856,0.5627151992129857,0.5610200364298725,0.5610200364298725,-0.0016951627831132132,0.0,-0.0016951627831132132
activity__n500__f0__beta1|recent_history_k20|ws0|b800,activity__n500__f0__beta1,activity::n500::f0,recent_history_k20,0.1854402361042794,0.5627151992129857,0.8779840848806366,0.2625994694960212,0.3152688856676509,-0.6153846153846154,-0.30011572971696454
activity__n500__f0__beta1|time_agnostic_t|ws0|b800,activity__n500__f0__beta1,activity::n500::f0,time_agnostic_t,0.2710280373831775,0.5627151992129857,0.5807622504537205,0.1306715063520871,0.0180470512407348,-0.4500907441016334,-0.4320436928608986
activity__n500__f0__beta1|time_respecting|ws0|b800,activity__n500__f0__beta1,activity::n500::f0,time_respecting,0.1923266109198229,0.5627151992129857,0.8107416879795396,0.1355498721227621,0.24802648876655387,-0.6751918158567776,-0.42716532709022365
activity__n500__f0__memoryless|event_sample_then_full_history|ss0|b9600,activity__n500__f0__memoryless,activity::n500::f0,event_sample_then_full_history,0.9597435358419172,0.0396258145890267,0.0410688862118059,0.0410688862118059,0.0014430716227792004,0.0,0.0014430716227792004
activity__n500__f0__memoryless|node_panel_full_history|ss0|b2500,activity__n500__f0__memoryless,activity::n500::f0,node_panel_full_history,0.2493167963001892,0.0396258145890267,0.0404721753794266,0.0404721753794266,0.0008463607903999026,0.0,0.0008463607903999026
activity__n500__f0__memoryless|recent_history_k20|ws0|b800,activity__n500__f0__memoryless,activity::n500::f0,recent_history_k20,0.0653773386588185,0.0396258145890267,0.0643086816720257,0.0032154340836012,0.024682867082999008,-0.06109324758842451,-0.0364103805054255
activity__n500__f0__memoryless|time_agnostic_t|ws0|b800,activity__n500__f0__memoryless,activity::n500::f0,time_agnostic_t,0.0794618457010721,0.0396258145890267,0.037037037037037,0.0,-0.0025887775519896974,-0.037037037037037,-0.0396258145890267
activity__n500__f0__memoryless|time_respecting|ws0|b800,activity__n500__f0__memoryless,activity::n500::f0,time_respecting,0.0547614042463737,0.0396258145890267,0.072936660268714,0.0019193857965451,0.0333108456796873,-0.07101727447216889,-0.037706428792481594
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0,real::snap_bitcoin_otc,event_sample_then_full_history,0.250930578820026,0.1262795458775358,0.1505655479325051,0.1505655479325051,0.024286002054969308,0.0,0.024286002054969308
