strategy,budget,n,selection,censoring,total_bias,log_observed_dyads,share_cases_positive,selection_share
recent_history_k20,200,32,0.16043450212656993,-0.46731006142253084,-0.3068755592959609,4.700378935670198,0.0,0.25557290567283597
recent_history_k20,400,32,0.16514251924532827,-0.45967432264586305,-0.29453180340053475,5.3737972250648705,0.0,0.26430548630135514
recent_history_k20,600,32,0.16367169140098922,-0.4495170593583603,-0.28584536795737103,5.761014263634426,0.0,0.26691894004628175
recent_history_k20,800,32,0.16096372356323604,-0.43909533141270174,-0.2781316078494657,6.035064994019454,0.0,0.2682464704572963
recent_history_k20,1200,32,0.15557542536124003,-0.41945806279000697,-0.26388263742876694,6.39223781598142,0.0,0.2705502002351559
recent_history_k20,1600,32,0.15494728370896022,-0.40823120030690524,-0.253283916597945,6.6348749415996835,0.0,0.27512997762996066
time_agnostic_t,200,32,0.007529473105382691,-0.29714251978488304,-0.28961304667950033,5.077430642356491,0.03125,0.024713374649092196
time_agnostic_t,400,32,0.007065381592590981,-0.2936174868964975,-0.28655210530390657,5.730283619207669,0.03125,0.023497785650689235
time_agnostic_t,600,32,0.008084476217271225,-0.29091228116857626,-0.28282780495130505,6.104543988807033,0.03125,0.027038675228301626
time_agnostic_t,800,32,0.0085778183472817,-0.28815395787006626,-0.2795761395227846,6.362810384215719,0.03125,0.028907650055647164
time_agnostic_t,1200,32,0.00691431997881178,-0.27845847439612537,-0.27154415441731355,6.717196065361569,0.03125,0.024229078998075054
time_agnostic_t,1600,32,0.006270855817145114,-0.2720090201153589,-0.26573816429821373,6.959139657424611,0.03125,0.022534348903713374
time_respecting,200,32,0.20616063083263178,-0.5213021738119133,-0.31514154297928154,4.7550401978053385,0.0,0.28339679983139004
time_respecting,400,32,0.20289744506821247,-0.5136702117071714,-0.310772766638959,5.3658315519805155,0.0,0.2831518324191025
time_respecting,600,32,0.19995480766876483,-0.5045062717831978,-0.304551464114433,5.709232188879457,0.0,0.2838408160523505
time_respecting,800,32,0.1974314948169938,-0.4981502300979267,-0.30071873528093285,5.944378191347385,0.0,0.2838365180470238
time_respecting,1200,32,0.19211997954166946,-0.4845666436292735,-0.29244666408760406,6.255980524068951,0.0,0.2839127787710628
time_respecting,1600,32,0.19007239000331094,-0.47547577797851953,-0.28540338797520864,6.466020581578078,0.0,0.2855877292543309
