strategy,target_budget,n,chosen,selection,censoring,total_bias,coverage,selection_share,opposed
time_agnostic_t,,32,True,0.00857781834728168,-0.2881539578700663,-0.2795761395227846,0.13816127076486062,0.028907650055647095,True
ego_recent_k1,3200.0,128,False,0.13536380244218157,-0.47588687205470237,-0.3405230696125209,0.09179673899872193,0.2214538291570779,True
ego_recent_k1,1600.0,128,False,0.1395548783447572,-0.48007794795727804,-0.3405230696125209,0.08318616286464159,0.22522189338744336,True
time_prefix_events,1600.0,32,False,0.14087829666981833,-0.47507992120840803,-0.33420162453858965,0.11054782474634653,0.22871404679865748,True
time_prefix_events,400.0,32,False,0.14691967715355436,-0.48744274676607524,-0.3405230696125209,0.0378621013172485,0.23160211200051836,True
ego_recent_k1,800.0,128,False,0.1498030294037737,-0.49032609901629454,-0.3405230696125209,0.06762183107768868,0.23402001682615092,True
time_prefix_events,800.0,32,False,0.15133871994556608,-0.49186178955808696,-0.3405230696125209,0.06634469003762974,0.23529011204041428,True
time_prefix_events,3200.0,32,False,0.13348790539118166,-0.423638976363989,-0.29015107097280735,0.17661624434834927,0.23960054659477534,True
time_prefix_events,100.0,32,False,0.16206804415399767,-0.5025911137665185,-0.3405230696125209,0.011796967900885622,0.24383632155321736,True
ego_recent_k1,400.0,128,False,0.1648127950287737,-0.5053358646412945,-0.3405230696125209,0.05299471554103767,0.24593467829946172,True
ego_recent_k5,3200.0,128,False,0.13872159277002916,-0.41858636470397903,-0.27986477193394993,0.16105086920207795,0.2489137126244943,True
forest_fire_k5,3200.0,128,False,0.1404901403284049,-0.4204501615415277,-0.27996002121312286,0.16081727866178314,0.2504547094585136,True
time_random_window_events,100.0,128,False,0.1767439608426537,-0.5169159068596689,-0.3401719460170153,0.011182379099182708,0.2547991733010301,True
time_random_window_events,400.0,128,False,0.17715822606276477,-0.5154986735082364,-0.33834044744547165,0.0382402252259109,0.2557662042672038,True
ego_recent_k1,100.0,128,False,0.18025493098031234,-0.5207780005928332,-0.3405230696125209,0.021647950307425008,0.2571276224867399,True
time_random_window_events,800.0,128,False,0.17864831681199603,-0.5128572904353194,-0.33420897362332336,0.0675030754126125,0.2583468809792353,True
ego_recent_k5,1600.0,128,False,0.15537021288325842,-0.44030786405352407,-0.2849376511702656,0.12582064953474975,0.26082916074775636,True
forest_fire_k5,1600.0,128,False,0.15875668751985747,-0.44390559322545736,-0.2851489057055999,0.12554829652817026,0.2634256242543045,True
bfs_crawl_k5,3200.0,128,False,0.15446861121420102,-0.43180960683499947,-0.2773409956207985,0.16012632847614006,0.26347322219847163,True
time_random_window_events,1600.0,128,False,0.178394430566087,-0.49829781394412825,-0.31990338337804125,0.11218887417277795,0.2636271244621808,True
uniform_event_reservoir,100.0,128,False,0.18286048387543907,-0.5030419616469617,-0.32018147777152267,0.022080466576058777,0.2665983844629215,True
ego_recent_k5,800.0,128,False,0.1682362189479341,-0.46116524707711803,-0.292929028129184,0.0800822850744605,0.267295562576967,True
recent_history_k20,,32,True,0.16096372356323604,-0.43909533141270174,-0.2781316078494657,0.08492849181494959,0.2682464704572963,True
forest_fire_k5,800.0,128,False,0.17271135604926202,-0.46625569111596843,-0.29354433506670635,0.07998438713419427,0.2702977513715204,True
ego_recent_k5,400.0,128,False,0.17420896632347294,-0.46893266481992,-0.2947236984964471,0.05017977148014549,0.270871854483685,True
uniform_event_reservoir,400.0,128,False,0.17436886522318995,-0.46409621455990757,-0.2897273493367177,0.07158060693638771,0.27310634636811676,True
time_random_window_events,3200.0,128,False,0.17572871654469147,-0.46609132839889467,-0.2903626118542032,0.1783535846658481,0.2737974887651529,True
forest_fire_k5,400.0,128,False,0.1800949472072357,-0.476997178720479,-0.29690223151324335,0.050372456392911276,0.2740786871444683,True
ego_recent_k5,100.0,128,False,0.18475984110155957,-0.4814905486186816,-0.29673070751712205,0.0136453852767012,0.2773129201157245,True
uniform_event_reservoir,800.0,128,False,0.16582659629824256,-0.4297583265726507,-0.26393173027440814,0.12100472871461469,0.2784264509230857,True
forest_fire_k5,100.0,128,False,0.1896623524257442,-0.48664754108624936,-0.29698518866050516,0.013976138541051137,0.2804370514836787,True
bfs_crawl_k5,1600.0,128,False,0.1808862141230626,-0.4618789217688202,-0.2809927076457577,0.12510559912924277,0.28141883251348093,True
bfs_crawl_k5,400.0,128,False,0.19405743773431863,-0.4953187625413631,-0.30126132480704443,0.05064314261951817,0.28149715301560313,True
bfs_crawl_k5,800.0,128,False,0.19093401272487756,-0.48455188268373084,-0.29361786995885325,0.08022991877185265,0.28266173138875034,True
time_respecting,,32,True,0.1974314948169938,-0.4981502300979267,-0.3007187352809329,0.07840232388282616,0.2838365180470238,True
ego_recent_k20,3200.0,128,False,0.1338901865901235,-0.3358660118599609,-0.20197582526983737,0.17897099545971068,0.28502058521395,True
bfs_crawl_k5,100.0,128,False,0.20146471012494027,-0.5053198806907804,-0.3038551705658401,0.013742714355334085,0.28504400455650003,True
ego_recent_k20,1600.0,128,False,0.13995658708436665,-0.348398665046881,-0.20844207796251432,0.11269304570644897,0.2865876561654193,True
ego_recent_k20,800.0,128,False,0.1454002135576878,-0.35862873822866626,-0.21322852467097844,0.06020716546246681,0.2884759160011894,True
ego_recent_k20,400.0,128,False,0.15046533810007615,-0.3693840836295068,-0.21891874552943066,0.0298355310747995,0.28944023367279176,True
uniform_event_reservoir,1600.0,128,False,0.15737493607102893,-0.38544018275272296,-0.228065246681694,0.192622433188961,0.2899236417954811,True
bfs_crawl_k20,800.0,128,False,0.15668398245317075,-0.37572936557071357,-0.2190453831175428,0.06030290654167185,0.29429010943230866,True
bfs_crawl_k20,1600.0,128,False,0.15092933283029988,-0.3617065055181601,-0.21077717268786017,0.11353013943921397,0.2944182235025615,True
bfs_crawl_k20,3200.0,128,False,0.1450510005917964,-0.3464632559449733,-0.20141225535317692,0.1778147283137843,0.2951104645749889,True
forest_fire_k20,3200.0,128,False,0.14765599394725562,-0.34933346562998174,-0.2016774716827261,0.1794815618071633,0.29710085616877824,True
bfs_crawl_k20,400.0,128,False,0.16292513521392918,-0.38488083028471154,-0.2219556950707824,0.030494297806241553,0.2974139485057022,True
