model,strategy,n,corr_hidden_naive,corr_hidden_true,sd_hidden_prediction,sd_naive
qwen36-27b_think,event_sample_then_full_history,55,0.9640595714601344,0.9080657089369663,0.2973862524322972,0.323062226646344
qwen36-27b_think,node_panel_full_history,56,0.968187025491204,0.9471010729243443,0.2379310399329423,0.25697949840924
qwen36-27b_think,recent_history_k20,56,0.9602865064003784,0.7972420073077806,0.0747346270353816,0.08128276306017251
qwen36-27b_think,time_agnostic_t,56,0.9853498706316198,0.5940884766968118,0.14594137134127805,0.14980381614666716
qwen36-27b_think,time_respecting,56,0.9883415243150908,0.7583956436850473,0.040553901264083696,0.04283058205317075
qwen36-27b_nothink,event_sample_then_full_history,32,0.961556290452365,0.9299959921522291,0.2893352369603955,0.31832559144249
qwen36-27b_nothink,node_panel_full_history,32,0.9530603551874183,0.9138961840381609,0.2051720104607919,0.24053407814673664
qwen36-27b_nothink,recent_history_k20,32,0.8124882123497094,0.7001299431721059,0.06992167814968987,0.07577377335241832
qwen36-27b_nothink,time_agnostic_t,32,0.9952672694757901,0.5687567569398658,0.17661885931178056,0.17715404849133715
qwen36-27b_nothink,time_respecting,32,0.9590720533600989,0.735476142587958,0.04099004948260031,0.040341186353405854
codex-gpt-5.6-sol,event_sample_then_full_history,32,0.9998925132642597,0.9057137398731697,0.3185714525040298,0.31832559144249
codex-gpt-5.6-sol,node_panel_full_history,12,0.9999999996912247,0.9916925228743996,0.22096789738122746,0.2209697192874594
codex-gpt-5.6-sol,recent_history_k20,12,0.9906451056185005,0.5402101542828049,0.07795298152458971,0.07755113096222749
codex-gpt-5.6-sol,time_agnostic_t,32,0.953417189696357,0.48854407323292565,0.18366055245557455,0.17715404849133715
codex-gpt-5.6-sol,time_respecting,12,0.9999999999916371,0.5736119937179611,0.039403945912379175,0.039403858516286396
