subset,condition,strategy,prompts,graphs
disclosed_historical,disclosed_historical,recent_history_k20,32,32
disclosed_historical,disclosed_historical,time_agnostic_t,32,32
disclosed_historical,disclosed_historical,time_respecting,32,32
factorial,direction_only,event_sample_then_full_history,32,32
factorial,direction_only,node_panel_full_history,32,32
factorial,direction_only,recent_history_k20,32,32
factorial,direction_only,time_agnostic_t,32,32
factorial,direction_only,time_respecting,32,32
factorial,hidden,event_sample_then_full_history,32,32
factorial,hidden,node_panel_full_history,32,32
factorial,hidden,recent_history_k20,32,32
factorial,hidden,time_agnostic_t,32,32
factorial,hidden,time_respecting,32,32
factorial,mechanism,event_sample_then_full_history,32,32
factorial,mechanism,node_panel_full_history,32,32
factorial,mechanism,recent_history_k20,32,32
factorial,mechanism,time_agnostic_t,32,32
factorial,mechanism,time_respecting,32,32
factorial,mechanism_direction,event_sample_then_full_history,32,32
factorial,mechanism_direction,node_panel_full_history,32,32
factorial,mechanism_direction,recent_history_k20,32,32
factorial,mechanism_direction,time_agnostic_t,32,32
factorial,mechanism_direction,time_respecting,32,32
irrelevant_context,irrelevant_context,event_sample_then_full_history,32,32
irrelevant_context,irrelevant_context,time_agnostic_t,32,32
metadata_only,metadata_only,time_agnostic_t,32,32
mismatched,mismatched,event_sample_then_full_history,32,32
mismatched,mismatched,time_agnostic_t,32,32
seed_replication,hidden,event_sample_then_full_history,24,8
seed_replication,hidden,node_panel_full_history,24,8
seed_replication,hidden,recent_history_k20,24,8
seed_replication,hidden,time_agnostic_t,24,8
seed_replication,hidden,time_respecting,24,8
seed_replication,mechanism,event_sample_then_full_history,24,8
seed_replication,mechanism,node_panel_full_history,24,8
seed_replication,mechanism,recent_history_k20,24,8
seed_replication,mechanism,time_agnostic_t,24,8
seed_replication,mechanism,time_respecting,24,8
