case_id,instance_id,group_id,strategy,delta_i,coverage,hidden,mechanism,Delta_i,direction_hit,magnitude_ratio
activity__n1500__f0__beta1|event_sample_then_full_history|ss0|b9600,activity__n1500__f0__beta1,activity::n1500::f0,event_sample_then_full_history,-0.3005434041528494,0.1413924259963618,0.877193,0.53147,-0.345723,True,1.1503263595968765
activity__n1500__f0__beta1|time_agnostic_t|ws0|b800,activity__n1500__f0__beta1,activity::n1500::f0,time_agnostic_t,0.49652631173934636,0.1073259467504547,0.08012315,0.668,0.58787685,True,1.1839792496406687
activity__n1500__f0__memoryless|event_sample_then_full_history|ss0|b9600,activity__n1500__f0__memoryless,activity::n1500::f0,event_sample_then_full_history,-0.0083547334923867,0.3375926859117414,0.01940505,0.00978153,-0.00962352,True,1.151864390260861
activity__n1500__f0__memoryless|time_agnostic_t|ws0|b800,activity__n1500__f0__memoryless,activity::n1500::f0,time_agnostic_t,0.0110503203513066,0.0276078036138506,0.0,0.0,0.0,False,0.0
activity__n500__f0__beta1|event_sample_then_full_history|ss0|b9600,activity__n500__f0__beta1,activity::n500::f0,event_sample_then_full_history,-0.01993786201150405,0.9640924741760944,0.6223265,0.25827849999999997,-0.36404800000000004,True,18.25912927825191
activity__n500__f0__beta1|time_agnostic_t|ws0|b800,activity__n500__f0__beta1,activity::n500::f0,time_agnostic_t,0.4320436928608986,0.2710280373831775,0.13067175320000002,0.627,0.4963282468,True,1.1487917888892745
activity__n500__f0__memoryless|event_sample_then_full_history|ss0|b9600,activity__n500__f0__memoryless,activity::n500::f0,event_sample_then_full_history,-0.0014430716227792004,0.9597435358419172,0.041068893100000003,0.02066515,-0.020403743100000003,True,14.139106318717982
activity__n500__f0__memoryless|time_agnostic_t|ws0|b800,activity__n500__f0__memoryless,activity::n500::f0,time_agnostic_t,0.0396258145890267,0.0794618457010721,0.0,0.0,0.0,False,0.0
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0,real::snap_bitcoin_otc,event_sample_then_full_history,-0.024286002054969308,0.250930578820026,0.150566,0.123404,-0.027162000000000006,True,1.1184220415744477
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0,real::snap_bitcoin_otc,time_agnostic_t,0.12044864208744839,0.0319188535268937,0.005830952,0.0593285,0.053497548,True,0.4441523546704627
