model,case_id,group_id,strategy,condition,coverage,generations,sd,iqr,mean_rho2
qwen36-27b_nothink,activity__n1500__f0__beta1|event_sample_then_full_history|ss0|b9600,activity::n1500::f0,event_sample_then_full_history,direction_only,0.1413924259963618,3,0.08407139822793482,0.08100000000000007,0.5660000000000001
qwen36-27b_nothink,activity__n1500__f0__beta1|event_sample_then_full_history|ss0|b9600,activity::n1500::f0,event_sample_then_full_history,hidden,0.1413924259963618,4,0.20339512244233718,0.120425,0.779775
qwen36-27b_nothink,activity__n1500__f0__beta1|event_sample_then_full_history|ss0|b9600,activity::n1500::f0,event_sample_then_full_history,mechanism,0.1413924259963618,3,0.0650640709864771,0.06499999999999995,0.5233333333333333
qwen36-27b_nothink,activity__n1500__f0__beta1|event_sample_then_full_history|ss0|b9600,activity::n1500::f0,event_sample_then_full_history,mechanism_direction,0.1413924259963618,4,0.019451392409456633,0.014449999999999963,0.51485
qwen36-27b_nothink,activity__n1500__f0__beta1|event_sample_then_full_history|ss0|b9600,activity::n1500::f0,event_sample_then_full_history,mismatched,0.1413924259963618,3,0.08386497083606084,0.07500000000000007,0.9466666666666667
qwen36-27b_nothink,activity__n1500__f0__beta1|node_panel_full_history|ss0|b2500,activity::n1500::f0,node_panel_full_history,direction_only,0.0924425334876798,4,0.013015887727440377,0.008999999999999897,0.5712
qwen36-27b_nothink,activity__n1500__f0__beta1|node_panel_full_history|ss0|b2500,activity::n1500::f0,node_panel_full_history,hidden,0.0924425334876798,3,0.16919515359489468,0.15550000000000003,0.47100000000000003
qwen36-27b_nothink,activity__n1500__f0__beta1|node_panel_full_history|ss0|b2500,activity::n1500::f0,node_panel_full_history,mechanism,0.0924425334876798,4,0.15442703508993064,0.08087500000000003,0.663425
qwen36-27b_nothink,activity__n1500__f0__beta1|node_panel_full_history|ss0|b2500,activity::n1500::f0,node_panel_full_history,mechanism_direction,0.0924425334876798,3,0.0013999999999999727,0.0012999999999999678,0.5865
qwen36-27b_nothink,activity__n1500__f0__beta1|recent_history_k20|ws0|b800,activity::n1500::f0,recent_history_k20,direction_only,0.0768976351910038,4,0.056747246629241854,0.06975,0.22025
qwen36-27b_nothink,activity__n1500__f0__beta1|recent_history_k20|ws0|b800,activity::n1500::f0,recent_history_k20,hidden,0.0768976351910038,3,0.04527320767665279,0.03964999999999999,0.09823333333333334
qwen36-27b_nothink,activity__n1500__f0__beta1|recent_history_k20|ws0|b800,activity::n1500::f0,recent_history_k20,mechanism,0.0768976351910038,4,0.17795130420052185,0.175,0.25
