completeness,scope,model,measure,n_cases,graph_groups,slope,ci_lo,ci_hi,share_negative_draws,slope_adjusted_for_mean
all_three,pooled,qwen36-27b_nothink,sd,709,12,0.0007723726146755619,-0.008959443885264663,0.00936065915203695,0.43975,0.0011742607150337942
all_three,pooled,qwen36-27b_think,sd,940,12,-0.004207590230419413,-0.020076500500711913,0.0046194010015169675,0.80575,-0.005267664739979746
all_three,event_sample_then_full_history,qwen36-27b_nothink,sd,141,12,-0.004389130997779286,-0.020647629687421235,0.008071863599130001,0.75575,-0.002358719967640959
all_three,event_sample_then_full_history,qwen36-27b_think,sd,180,12,-0.011058638870176496,-0.0216724989000946,0.0008209264671029678,0.96725,-0.008125608096729728
all_three,node_panel_full_history,qwen36-27b_nothink,sd,122,12,0.004625794692371498,-0.012749874555742512,0.02186465752339479,0.2635,0.0028951281517840466
all_three,node_panel_full_history,qwen36-27b_think,sd,168,12,-0.00973422028030813,-0.024654086040064936,0.006553828148685552,0.8745,-0.013945661278392928
all_three,recent_history_k20,qwen36-27b_nothink,sd,127,12,-0.014699397905370521,-0.04158285841993108,0.0024813342207089502,0.9545,-0.03948917262921195
all_three,recent_history_k20,qwen36-27b_think,sd,176,12,-0.003290046322396287,-0.05723235351879904,0.018573332986898117,0.5645,-0.04867562830395658
all_three,time_agnostic_t,qwen36-27b_nothink,sd,192,12,0.008164040860969096,-0.01773854079573742,0.03598557295864195,0.19075,0.008724838975692007
all_three,time_agnostic_t,qwen36-27b_think,sd,240,12,-0.0005378331635380024,-0.016133844180029198,0.016187718454699674,0.507,-0.0026523016066584693
all_three,time_respecting,qwen36-27b_nothink,sd,127,12,-0.004701931754734702,-0.014622094482214283,0.017467922849937235,0.67675,-0.018681672959225834
all_three,time_respecting,qwen36-27b_think,sd,176,12,0.010141255708778303,-0.03022041037974027,0.04118832097410588,0.217,-0.01040282872077801
all_three,pooled,qwen36-27b_nothink,iqr,709,12,0.0009955657334517198,-0.008590516137494583,0.00911634298537482,0.41525,0.0013652647328958184
all_three,pooled,qwen36-27b_think,iqr,940,12,-0.0035014112746134213,-0.017981921871772364,0.004640459074386417,0.7785,-0.004483929243957734
all_three,event_sample_then_full_history,qwen36-27b_nothink,iqr,141,12,-0.004066744703036774,-0.019570220376001424,0.007819524122985607,0.7535,-0.002284425431984715
all_three,event_sample_then_full_history,qwen36-27b_think,iqr,180,12,-0.009627482938204443,-0.01933341106043582,0.0008806731589833216,0.96525,-0.007007810741551563
all_three,node_panel_full_history,qwen36-27b_nothink,iqr,122,12,0.00343603688634674,-0.012704902099106463,0.01849385295926938,0.29825,0.0019860286979441616
all_three,node_panel_full_history,qwen36-27b_think,iqr,168,12,-0.008349769328071452,-0.021369077391730648,0.005838314244799976,0.8725,-0.012011879457409412
all_three,recent_history_k20,qwen36-27b_nothink,iqr,127,12,-0.014115390226680156,-0.03995701243350172,0.0016004045669070308,0.9605,-0.03837536541406432
all_three,recent_history_k20,qwen36-27b_think,iqr,176,12,-0.0026804354842575474,-0.050108901819419134,0.017138336217110223,0.562,-0.04439168517477732
all_three,time_agnostic_t,qwen36-27b_nothink,iqr,192,12,0.008518157028080496,-0.016052554323128913,0.036083333864773894,0.17525,0.00905951254146581
all_three,time_agnostic_t,qwen36-27b_think,iqr,240,12,-0.00039194313539942535,-0.01516701021738953,0.015044392649014448,0.5,-0.002400079471358958
all_three,time_respecting,qwen36-27b_nothink,iqr,127,12,-0.0037868306088532,-0.012703088157423516,0.01580217982690377,0.66775,-0.017088700791932226
all_three,time_respecting,qwen36-27b_think,iqr,176,12,0.009065342280659179,-0.02532644875500848,0.03702380527575075,0.2075,-0.010264176292565
at_least_two,pooled,codex-gpt-5.6-sol,sd,30,4,-0.003469886045769242,-0.006058673814357897,-0.00018604652777808546,0.9975,-0.0033528181187843305
at_least_two,pooled,qwen36-27b_nothink,sd,732,12,0.0018315426869519027,-0.007908138370730448,0.010473414106572012,0.35175,0.002440506604261195
at_least_two,pooled,qwen36-27b_think,sd,969,12,-0.005712539453660908,-0.02090921900574279,0.0032340995579237977,0.886,-0.006840302373096879
at_least_two,event_sample_then_full_history,codex-gpt-5.6-sol,sd,16,4,-8.179078150451021e-06,-1.4638655725640776e-05,1.6280364325407538e-07,0.83625,-7.319659932732129e-06
at_least_two,event_sample_then_full_history,qwen36-27b_nothink,sd,156,12,-0.002231382916240124,-0.015649239490983038,0.009697786143383581,0.6455,-0.00035428537348482225
at_least_two,event_sample_then_full_history,qwen36-27b_think,sd,202,12,-0.014529395505252162,-0.028502551233531785,-0.002482511773036571,0.9905,-0.01143136576904872
at_least_two,node_panel_full_history,qwen36-27b_nothink,sd,128,12,0.005120185401400153,-0.012529941613318477,0.022243026629594122,0.25175,0.00354527139689103
at_least_two,node_panel_full_history,qwen36-27b_think,sd,175,12,-0.011248616390862776,-0.02580604084767602,0.005614756507803172,0.89825,-0.01544414602979128
at_least_two,recent_history_k20,qwen36-27b_nothink,sd,128,12,-0.014628238505553556,-0.04134658470309797,0.0025390622201490703,0.95475,-0.0394833513956141
at_least_two,recent_history_k20,qwen36-27b_think,sd,176,12,-0.003290046322396287,-0.05723235351879904,0.018573332986898117,0.5645,-0.04867562830395658
at_least_two,time_agnostic_t,codex-gpt-5.6-sol,sd,14,4,-0.00429390272393611,-0.018550363527323404,0.057522704463678936,0.675,-0.004874198794369
at_least_two,time_agnostic_t,qwen36-27b_nothink,sd,192,12,0.008164040860969096,-0.01773854079573742,0.03598557295864195,0.19075,0.008724838975692007
at_least_two,time_agnostic_t,qwen36-27b_think,sd,240,12,-0.0005378331635380024,-0.016133844180029198,0.016187718454699674,0.507,-0.0026523016066584693
at_least_two,time_respecting,qwen36-27b_nothink,sd,128,12,-0.0047055884684544,-0.014622094482214283,0.01732098077400316,0.67925,-0.018622442251013907
at_least_two,time_respecting,qwen36-27b_think,sd,176,12,0.010141255708778303,-0.03022041037974027,0.04118832097410588,0.217,-0.01040282872077801
at_least_two,pooled,codex-gpt-5.6-sol,iqr,30,4,-0.002453579952908004,-0.004284129339129822,-0.00013155476140809283,0.9975,-0.0023708004278775218
at_least_two,pooled,qwen36-27b_nothink,iqr,732,12,0.0020027257684517284,-0.007465865252098535,0.010317295988416337,0.333,0.002562729455856602
at_least_two,pooled,qwen36-27b_think,iqr,969,12,-0.004508476951804506,-0.01840493535103694,0.0036797313379607647,0.8545,-0.005539666527944177
at_least_two,event_sample_then_full_history,codex-gpt-5.6-sol,iqr,16,4,-5.7834816240441686e-06,-1.035109273106478e-05,1.1511956015057991e-07,0.83625,-5.175781174417473e-06
at_least_two,event_sample_then_full_history,qwen36-27b_nothink,iqr,156,12,-0.0020754269370136954,-0.014852479525695439,0.009195050245807246,0.643,-0.0003788583395572514
at_least_two,event_sample_then_full_history,qwen36-27b_think,iqr,202,12,-0.011888598503728537,-0.02339505893343043,-0.0011559538233045243,0.9845,-0.009180708347429418
at_least_two,node_panel_full_history,qwen36-27b_nothink,iqr,128,12,0.003868718359435289,-0.012779878571839022,0.018936398176505012,0.28475,0.0025390711755781483
at_least_two,node_panel_full_history,qwen36-27b_think,iqr,175,12,-0.009511154989150465,-0.022178213333206125,0.005014195851806848,0.894,-0.013146466555208167
at_least_two,recent_history_k20,qwen36-27b_nothink,iqr,128,12,-0.014020121559401343,-0.03972862093331145,0.0014167301790797748,0.96125,-0.038362704365246955
at_least_two,recent_history_k20,qwen36-27b_think,iqr,176,12,-0.0026804354842575474,-0.050108901819419134,0.017138336217110223,0.562,-0.04439168517477732
at_least_two,time_agnostic_t,codex-gpt-5.6-sol,iqr,14,4,-0.0030362477338506002,-0.013117087843646,0.04067469439845707,0.675,-0.003446579020349604
at_least_two,time_agnostic_t,qwen36-27b_nothink,iqr,192,12,0.008518157028080496,-0.016052554323128913,0.036083333864773894,0.17525,0.00905951254146581
at_least_two,time_agnostic_t,qwen36-27b_think,iqr,240,12,-0.00039194313539942535,-0.01516701021738953,0.015044392649014448,0.5,-0.002400079471358958
at_least_two,time_respecting,qwen36-27b_nothink,iqr,128,12,-0.003785920726926268,-0.01263935172818954,0.01581493694558057,0.66825,-0.017056529171962653
at_least_two,time_respecting,qwen36-27b_think,iqr,176,12,0.009065342280659179,-0.02532644875500848,0.03702380527575075,0.2075,-0.010264176292565
