model,case_id,instance_id,group_id,strategy,condition,coverage,generation,seed_slot,rho_k2,rho_W5_k2,est__plugin_rho_k2,delta_i,lo90,hi90
qwen36-27b_think,activity__n1500__f0__beta1|event_sample_then_full_history|ss0|b9600,activity__n1500__f0__beta1,activity::n1500::f0,event_sample_then_full_history,mismatched,0.1413924259963618,0,0,0.93,0.5766495783032909,0.8771929824561403,-0.3005434041528494,0.9,0.96
qwen36-27b_think,activity__n1500__f0__beta1|node_panel_full_history|ss0|b2500,activity__n1500__f0__beta1,activity::n1500::f0,node_panel_full_history,mechanism_direction,0.0924425334876798,0,0,0.5903,0.5766495783032909,0.590339892665474,-0.013690314362183154,0.5561,0.6246
qwen36-27b_think,activity__n1500__f0__beta1|time_respecting|ws0|b800,activity__n1500__f0__beta1,activity::n1500::f0,time_respecting,hidden,0.0764015214155779,0,0,0.0801,0.5766495783032909,0.08008658008658,0.4965629982167109,0.0594,0.1008
qwen36-27b_think,activity__n1500__f0__memoryless|event_sample_then_full_history|ss0|b9600,activity__n1500__f0__memoryless,activity::n1500::f0,event_sample_then_full_history,hidden,0.3375926859117414,0,0,0.019405,0.0110503203513066,0.0194050538436933,-0.0083547334923867,0.017063,0.021748
qwen36-27b_think,activity__n1500__f0__memoryless|event_sample_then_full_history|ss1|b9600,activity__n1500__f0__memoryless,activity::n1500::f0,event_sample_then_full_history,hidden,0.3379526312000576,0,1,0.0183,0.0110503203513066,0.0183193098306528,-0.007268989479346198,0.016,0.0206
qwen36-27b_think,activity__n1500__f0__memoryless|event_sample_then_full_history|ss3|b9600,activity__n1500__f0__memoryless,activity::n1500::f0,event_sample_then_full_history,hidden,0.3374847023252466,0,3,0.017705,0.0110503203513066,0.0177047781569965,-0.006654457805689899,0.015465,0.019945
qwen36-27b_think,activity__n1500__f0__memoryless|node_panel_full_history|ss0|b2500,activity__n1500__f0__memoryless,activity::n1500::f0,node_panel_full_history,mechanism,0.0866388308977035,0,0,0.00914,0.0110503203513066,0.0091400083090984,0.0019103120422082013,0.00595,0.01233
qwen36-27b_think,activity__n1500__f0__memoryless|node_panel_full_history|ss2|b2500,activity__n1500__f0__memoryless,activity::n1500::f0,node_panel_full_history,hidden,0.0878266503491469,0,2,0.0123,0.0110503203513066,0.0122950819672131,-0.0012447616159064999,0.0086,0.016
qwen36-27b_think,activity__n1500__f0__memoryless|recent_history_k20|ws1|b800,activity__n1500__f0__memoryless,activity::n1500::f0,recent_history_k20,hidden,0.0239363616730257,0,1,0.0,0.0110503203513066,0.0,0.0110503203513066,0.0,0.0045
qwen36-27b_think,activity__n1500__f0__memoryless|recent_history_k20|ws3|b800,activity__n1500__f0__memoryless,activity::n1500::f0,recent_history_k20,hidden,0.0239363616730257,0,3,0.0,0.0110503203513066,0.0,0.0110503203513066,0.0,0.0045
qwen36-27b_think,activity__n1500__f0__memoryless|time_agnostic_t|ws0|b800,activity__n1500__f0__memoryless,activity::n1500::f0,time_agnostic_t,mechanism,0.0276078036138506,0,0,0.0,0.0110503203513066,0.0,0.0110503203513066,0.0,0.2
qwen36-27b_think,activity__n1500__f0__memoryless|time_agnostic_t|ws1|b800,activity__n1500__f0__memoryless,activity::n1500::f0,time_agnostic_t,hidden,0.0270678856813764,0,1,0.0,0.0110503203513066,0.0,0.0110503203513066,0.0,0.004
qwen36-27b_think,activity__n1500__f0__memoryless|time_agnostic_t|ws3|b800,activity__n1500__f0__memoryless,activity::n1500::f0,time_agnostic_t,hidden,0.0278237707868404,0,3,0.0,0.0110503203513066,0.0,0.0110503203513066,0.0,0.003
qwen36-27b_think,activity__n1500__f0__memoryless|time_respecting|ws0|b800,activity__n1500__f0__memoryless,activity::n1500::f0,time_respecting,mechanism,0.0206248650205168,0,0,0.0,0.0110503203513066,0.0,0.0110503203513066,0.0,0.05
qwen36-27b_think,activity__n1500__f0__memoryless|time_respecting|ws2|b800,activity__n1500__f0__memoryless,activity::n1500::f0,time_respecting,hidden,0.0202649197322007,0,2,0.0,0.0110503203513066,0.0,0.0110503203513066,0.0,0.00531
qwen36-27b_think,activity__n500__f0__beta1|event_sample_then_full_history|ss0|b9600,activity__n500__f0__beta1,activity::n500::f0,event_sample_then_full_history,direction_only,0.9640924741760944,0,0,0.258,0.5627151992129857,0.5826530612244898,-0.01993786201150405,0.232,0.284
qwen36-27b_think,activity__n500__f0__beta1|time_agnostic_t|ws0|b800,activity__n500__f0__beta1,activity::n500::f0,time_agnostic_t,mechanism_direction,0.2710280373831775,0,0,0.63,0.5627151992129857,0.1306715063520871,0.4320436928608986,0.5,0.75
qwen36-27b_think,activity__n500__f0__beta1|time_respecting|ws0|b800,activity__n500__f0__beta1,activity::n500::f0,time_respecting,hidden,0.1923266109198229,0,0,0.1355,0.5627151992129857,0.1355498721227621,0.42716532709022365,0.1071,0.164
qwen36-27b_think,activity__n500__f0__memoryless|node_panel_full_history|ss0|b2500,activity__n500__f0__memoryless,activity::n500::f0,node_panel_full_history,direction_only,0.2493167963001892,0,0,0.04047,0.0396258145890267,0.0404721753794266,-0.0008463607903999026,0.03382,0.04713
qwen36-27b_think,activity__n500__f0__memoryless|recent_history_k20|ws0|b800,activity__n500__f0__memoryless,activity::n500::f0,recent_history_k20,direction_only,0.0653773386588185,0,0,0.32,0.0396258145890267,0.0032154340836012,0.0364103805054255,0.18,0.48
qwen36-27b_think,activity__n500__f0__memoryless|time_agnostic_t|ws0|b800,activity__n500__f0__memoryless,activity::n500::f0,time_agnostic_t,metadata_only,0.0794618457010721,0,0,0.6,0.0396258145890267,0.0,0.0396258145890267,0.5,0.7
qwen36-27b_think,activity__n500__f0__memoryless|time_respecting|ws0|b800,activity__n500__f0__memoryless,activity::n500::f0,time_respecting,mechanism,0.0547614042463737,0,0,0.002,0.0396258145890267,0.0019193857965451,0.037706428792481594,0.0,0.01
qwen36-27b_think,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0,real::snap_bitcoin_otc,event_sample_then_full_history,mechanism,0.250930578820026,0,0,0.1234,0.1262795458775358,0.1505655479325051,-0.024286002054969308,0.1139,0.1329
qwen36-27b_think,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss0|b2500,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0,real::snap_bitcoin_otc,node_panel_full_history,hidden,0.0702121719709659,0,0,0.095567,0.1262795458775358,0.1285619615639496,-0.0022824156864138245,0.082389,0.108744
qwen36-27b_think,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|recent_history_k20|ws0|b800,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0,real::snap_bitcoin_otc,recent_history_k20,hidden,0.0283826540107947,0,0,0.003279,0.1262795458775358,0.0032786885245901,0.12300085735294569,0.001086,0.009858
