model,case_id,instance_id,group_id,strategy,coverage,seed_slot,delta_i,rho_W5_k2,direction_only,hidden,mechanism,mechanism_direction,metadata_only,mismatched,Delta_i
codex-gpt-5.6-sol,activity__n1500__f0__beta1|event_sample_then_full_history|ss0|b9600,activity__n1500__f0__beta1,activity::n1500::f0,event_sample_then_full_history,0.1413924259963618,0,-0.3005434041528494,0.5766495783032909,0.811,0.877193,0.53147,0.5315,,0.9984,-0.345723
codex-gpt-5.6-sol,activity__n1500__f0__beta1|node_panel_full_history|ss0|b2500,activity__n1500__f0__beta1,activity::n1500::f0,node_panel_full_history,0.0924425334876798,0,-0.013690314362183154,0.5766495783032909,0.59034,0.59034,0.59034,0.59034,,,0.0
codex-gpt-5.6-sol,activity__n1500__f0__beta1|recent_history_k20|ws0|b800,activity__n1500__f0__beta1,activity::n1500::f0,recent_history_k20,0.0768976351910038,0,0.42611194389468876,0.5766495783032909,0.214,0.150538,0.673,0.239,,,0.522462
codex-gpt-5.6-sol,activity__n1500__f0__beta1|time_agnostic_t|ws0|b800,activity__n1500__f0__beta1,activity::n1500::f0,time_agnostic_t,0.1073259467504547,0,0.49652631173934636,0.5766495783032909,0.080123,0.08012315,0.671,0.668,0.3,0.040486,0.59087685
codex-gpt-5.6-sol,activity__n1500__f0__beta1|time_respecting|ws0|b800,activity__n1500__f0__beta1,activity::n1500::f0,time_respecting,0.0764015214155779,0,0.4965629982167109,0.5766495783032909,0.23,0.080087,0.7274,0.659,,,0.647313
codex-gpt-5.6-sol,activity__n1500__f0__memoryless|event_sample_then_full_history|ss0|b9600,activity__n1500__f0__memoryless,activity::n1500::f0,event_sample_then_full_history,0.3375926859117414,0,-0.0083547334923867,0.0110503203513066,0.009782,0.01940505,0.009781515000000001,0.0097815,,1.0,-0.009623534999999999
codex-gpt-5.6-sol,activity__n1500__f0__memoryless|node_panel_full_history|ss0|b2500,activity__n1500__f0__memoryless,activity::n1500::f0,node_panel_full_history,0.0866388308977035,0,0.0019103120422082013,0.0110503203513066,0.00914001,0.0091400083,0.009140008,0.0091400083,,,-3.0000000053598264e-10
codex-gpt-5.6-sol,activity__n1500__f0__memoryless|recent_history_k20|ws0|b800,activity__n1500__f0__memoryless,activity::n1500::f0,recent_history_k20,0.0236484054423727,0,0.0095282503360859,0.0110503203513066,0.00152207,0.00152207,0.00152207,0.04213,,,0.0
codex-gpt-5.6-sol,activity__n1500__f0__memoryless|time_agnostic_t|ws0|b800,activity__n1500__f0__memoryless,activity::n1500::f0,time_agnostic_t,0.0276078036138506,0,0.0110503203513066,0.0110503203513066,0.0,0.0,0.0,0.057,0.3,0.0,0.0
codex-gpt-5.6-sol,activity__n1500__f0__memoryless|time_respecting|ws0|b800,activity__n1500__f0__memoryless,activity::n1500::f0,time_respecting,0.0206248650205168,0,0.0110503203513066,0.0110503203513066,0.5,0.0,0.0,0.8,,,0.0
codex-gpt-5.6-sol,activity__n500__f0__beta1|event_sample_then_full_history|ss0|b9600,activity__n500__f0__beta1,activity::n500::f0,event_sample_then_full_history,0.9640924741760944,0,-0.01993786201150405,0.5627151992129857,0.3936,0.582653,0.2583,0.2583,,0.9982,-0.324353
codex-gpt-5.6-sol,activity__n500__f0__beta1|node_panel_full_history|ss0|b2500,activity__n500__f0__beta1,activity::n500::f0,node_panel_full_history,0.2700442695523856,0,0.0016951627831132132,0.5627151992129857,0.56102,0.561,0.561,0.56102,,,0.0
codex-gpt-5.6-sol,activity__n500__f0__beta1|recent_history_k20|ws0|b800,activity__n500__f0__beta1,activity::n500::f0,recent_history_k20,0.1854402361042794,0,0.30011572971696454,0.5627151992129857,0.338,0.262599,0.651,0.5624,,,0.388401
codex-gpt-5.6-sol,activity__n500__f0__beta1|time_agnostic_t|ws0|b800,activity__n500__f0__beta1,activity::n500::f0,time_agnostic_t,0.2710280373831775,0,0.4320436928608986,0.5627151992129857,0.26,0.13067175320000002,0.6265000000000001,0.6313,0.35,0.06862,0.49582824680000004
codex-gpt-5.6-sol,activity__n500__f0__beta1|time_respecting|ws0|b800,activity__n500__f0__beta1,activity::n500::f0,time_respecting,0.1923266109198229,0,0.42716532709022365,0.5627151992129857,0.13555,0.13555,0.778,0.236,,,0.64245
codex-gpt-5.6-sol,activity__n500__f0__memoryless|event_sample_then_full_history|ss0|b9600,activity__n500__f0__memoryless,activity::n500::f0,event_sample_then_full_history,0.9597435358419172,0,-0.0014430716227792004,0.0396258145890267,0.020665,0.041068943100000005,0.0206653,0.020665,,1.0,-0.020403643100000004
codex-gpt-5.6-sol,activity__n500__f0__memoryless|node_panel_full_history|ss0|b2500,activity__n500__f0__memoryless,activity::n500::f0,node_panel_full_history,0.2493167963001892,0,-0.0008463607903999026,0.0396258145890267,0.0404722,0.040472,0.0404721754,0.040472,,,1.7539999999649503e-07
codex-gpt-5.6-sol,activity__n500__f0__memoryless|recent_history_k20|ws0|b800,activity__n500__f0__memoryless,activity::n500::f0,recent_history_k20,0.0653773386588185,0,0.0364103805054255,0.0396258145890267,0.0032154341,0.003215,0.022,0.337,,,0.018785
codex-gpt-5.6-sol,activity__n500__f0__memoryless|time_agnostic_t|ws0|b800,activity__n500__f0__memoryless,activity::n500::f0,time_agnostic_t,0.0794618457010721,0,0.0396258145890267,0.0396258145890267,0.5,0.0,0.0,0.033738,0.03175,0.0,0.0
codex-gpt-5.6-sol,activity__n500__f0__memoryless|time_respecting|ws0|b800,activity__n500__f0__memoryless,activity::n500::f0,time_respecting,0.0547614042463737,0,0.037706428792481594,0.0396258145890267,0.001919386,0.001919386,0.001919386,0.9706,,,0.0
codex-gpt-5.6-sol,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0,real::snap_bitcoin_otc,event_sample_then_full_history,0.250930578820026,0,-0.024286002054969308,0.1262795458775358,0.123404,0.15056577399999999,0.123404,0.123404,,0.386115,-0.027161773999999986
codex-gpt-5.6-sol,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss0|b2500,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0,real::snap_bitcoin_otc,node_panel_full_history,0.0702121719709659,0,-0.0022824156864138245,0.1262795458775358,0.128562,0.128562,0.128562,0.128562,,,0.0
codex-gpt-5.6-sol,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|recent_history_k20|ws0|b800,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0,real::snap_bitcoin_otc,recent_history_k20,0.0283826540107947,0,0.12300085735294569,0.1262795458775358,0.003279,0.003278689,0.068996,0.0196,,,0.065717311
codex-gpt-5.6-sol,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0,real::snap_bitcoin_otc,time_agnostic_t,0.0319188535268937,0,0.12044864208744839,0.1262795458775358,0.005830904,0.005831,0.058501,0.05,0.018,0.0031771,0.052669999999999995
codex-gpt-5.6-sol,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|time_respecting|ws0|b800,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0,real::snap_bitcoin_otc,time_respecting,0.0213567839195979,0,0.08924250884049878,0.1262795458775358,0.15,0.037037,0.03704,0.19,,,2.9999999999960614e-06
codex-gpt-5.6-sol,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.55__r0,real::snap_bitcoin_otc,event_sample_then_full_history,0.2499069421179973,0,-0.09788206948393474,0.4872975991066443,0.482573,0.58518,0.482573,0.482573,,0.58518,-0.10260700000000006
codex-gpt-5.6-sol,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.55__r0|node_panel_full_history|ss0|b2500,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.55__r0,real::snap_bitcoin_otc,node_panel_full_history,0.068071840684906,0,0.01224633458169555,0.4872975991066443,0.475051,0.475051,0.475051,0.475051,,,0.0
codex-gpt-5.6-sol,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.55__r0|recent_history_k20|ws0|b800,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.55__r0,real::snap_bitcoin_otc,recent_history_k20,0.0274520751907686,0,0.43645014147952566,0.4872975991066443,0.429397,0.050847,0.402,0.319,,,0.35115300000000005
codex-gpt-5.6-sol,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.55__r0,real::snap_bitcoin_otc,time_agnostic_t,0.0300111669458403,0,0.42993325802137294,0.4872975991066443,0.057364,0.057364170549999996,0.5395000000000001,0.544,0.2,0.029208,0.4821358294500001
codex-gpt-5.6-sol,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.55__r0|time_respecting|ws0|b800,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.55__r0,real::snap_bitcoin_otc,time_respecting,0.021217197096594,0,0.45220987980839866,0.4872975991066443,0.1273,0.035088,0.03509,0.123,,,2.000000000002e-06
codex-gpt-5.6-sol,controlled__snap_collegemsg__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600,controlled__snap_collegemsg__bursty__contiguous__rho0.15__r0,real::snap_collegemsg,event_sample_then_full_history,0.0445151033386327,0,-0.045039022980199406,0.1481427952016187,0.137,0.193182,0.1168,0.116768,,0.1988,-0.07638199999999999
codex-gpt-5.6-sol,controlled__snap_collegemsg__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss0|b2500,controlled__snap_collegemsg__bursty__contiguous__rho0.15__r0,real::snap_collegemsg,node_panel_full_history,0.0371440959676253,0,0.04502995473469269,0.1481427952016187,0.1031,0.103113,0.103113,0.103113,,,0.0
codex-gpt-5.6-sol,controlled__snap_collegemsg__bursty__contiguous__rho0.15__r0|recent_history_k20|ws0|b800,controlled__snap_collegemsg__bursty__contiguous__rho0.15__r0,real::snap_collegemsg,recent_history_k20,0.0344702991761815,0,0.13766061490811768,0.1481427952016187,0.010482,0.0104821803,0.026,0.05521,,,0.0155178197
codex-gpt-5.6-sol,controlled__snap_collegemsg__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800,controlled__snap_collegemsg__bursty__contiguous__rho0.15__r0,real::snap_collegemsg,time_agnostic_t,0.0522474346003757,0,0.1384609141504431,0.1481427952016187,0.009682,0.03519094055,0.1908,0.1901,0.27,0.004854,0.15560905945
codex-gpt-5.6-sol,controlled__snap_collegemsg__bursty__contiguous__rho0.15__r0|time_respecting|ws0|b800,controlled__snap_collegemsg__bursty__contiguous__rho0.15__r0,real::snap_collegemsg,time_respecting,0.0273160861396155,0,0.07142321848204199,0.1481427952016187,0.3,0.0767196,0.07672,0.4,,,3.999999999976245e-07
codex-gpt-5.6-sol,controlled__snap_collegemsg__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600,controlled__snap_collegemsg__bursty__contiguous__rho0.55__r0,real::snap_collegemsg,event_sample_then_full_history,0.0437201907790143,0,-0.2106938732607181,0.5479838126896951,0.7116,0.758689,0.47222,0.47224,,,-0.286469
codex-gpt-5.6-sol,controlled__snap_collegemsg__bursty__contiguous__rho0.55__r0|node_panel_full_history|ss0|b2500,controlled__snap_collegemsg__bursty__contiguous__rho0.55__r0,real::snap_collegemsg,node_panel_full_history,0.0409018644312762,0,-0.0014861519746158791,0.5479838126896951,0.54947,0.54947,0.54947,0.54947,,,0.0
codex-gpt-5.6-sol,controlled__snap_collegemsg__bursty__contiguous__rho0.55__r0|recent_history_k20|ws0|b800,controlled__snap_collegemsg__bursty__contiguous__rho0.55__r0,real::snap_collegemsg,recent_history_k20,0.0388784506431565,0,0.5182440357380222,0.5479838126896951,0.029739777,0.02974,0.02974,0.24,,,0.0
