model,condition,attempted,lost_structural,lost_invalid,lost,loss_rate
codex-gpt-5.6-sol,direction_only,90,0,0,0,0.0
codex-gpt-5.6-sol,hidden,133,0,0,0,0.0
codex-gpt-5.6-sol,mechanism,132,0,0,0,0.0
codex-gpt-5.6-sol,mechanism_direction,89,0,0,0,0.0
codex-gpt-5.6-sol,metadata_only,7,0,0,0,0.0
codex-gpt-5.6-sol,mismatched,14,0,0,0,0.0
qwen36-27b_nothink,direction_only,485,12,1,13,0.026804123711340205
qwen36-27b_nothink,hidden,481,4,0,4,0.008316008316008316
qwen36-27b_nothink,mechanism,484,3,0,3,0.006198347107438017
qwen36-27b_nothink,mechanism_direction,481,2,0,2,0.004158004158004158
qwen36-27b_nothink,metadata_only,97,0,0,0,0.0
qwen36-27b_nothink,mismatched,192,11,0,11,0.057291666666666664
qwen36-27b_think,direction_only,480,4,0,4,0.008333333333333333
qwen36-27b_think,hidden,840,11,0,11,0.013095238095238096
qwen36-27b_think,mechanism,840,10,0,10,0.011904761904761904
qwen36-27b_think,mechanism_direction,480,3,0,3,0.00625
qwen36-27b_think,metadata_only,96,0,0,0,0.0
qwen36-27b_think,mismatched,192,4,0,4,0.020833333333333332
