model,scope,n,n_lost,delta_gap,ci_lo,ci_hi,share_positive_draws,mean_delta_lost,mean_delta_kept
codex-gpt-5.6-sol,all_conditions,422,0,,,,,,0.140595014227412
codex-gpt-5.6-sol,paired_legs,249,0,,,,,,0.1204868078832935
codex-gpt-5.6-sol,leg:hidden,125,0,,,,,,0.121925793192492
codex-gpt-5.6-sol,leg:mechanism,124,0,,,,,,0.11903621785385951
codex-gpt-5.6-sol,arm:event_sample_then_full_history,119,0,,,,,,-0.14444689154924334
codex-gpt-5.6-sol,arm:node_panel_full_history,63,0,,,,,,0.00784179738997663
codex-gpt-5.6-sol,arm:recent_history_k20,60,0,,,,,,0.3397022606273816
codex-gpt-5.6-sol,arm:time_agnostic_t,122,0,,,,,,0.288954976828382
codex-gpt-5.6-sol,arm:time_respecting,58,0,,,,,,0.35157931124230674
qwen36-27b_nothink,all_conditions,2220,33,-0.2783089968597212,-0.34000015741940426,-0.2238073954234302,0.0,-0.13519055970096788,0.14311843715875333
qwen36-27b_nothink,paired_legs,965,7,-0.23420364404594804,-0.2611162590941404,-0.20079916281224147,0.0,-0.09259095846829468,0.14161268557765336
qwen36-27b_nothink,leg:hidden,481,4,-0.2968316771109537,-0.37097246172802384,-0.26674872490515905,0.0,-0.15578654702014277,0.1410451300908109
qwen36-27b_nothink,leg:mechanism,484,3,-0.15050569500084468,-0.21716570127205376,-0.10529996639454445,0.0,-0.008330173732497234,0.14217552126834745
qwen36-27b_nothink,arm:event_sample_then_full_history,483,25,-0.02224158043294755,-0.13669967800612054,0.05101538751825847,0.294,-0.18448142851765428,-0.16223984808470673
qwen36-27b_nothink,arm:node_panel_full_history,386,6,-0.02222972711743725,-0.04977355244722869,0.022075622391612395,0.14914914914914915,-0.019792729325039834,0.0024369977923974153
qwen36-27b_nothink,arm:recent_history_k20,386,1,-0.15986298544215222,-0.21459475298875919,-0.1163813502051427,0.0,0.1194495127118021,0.2793124981539543
qwen36-27b_nothink,arm:time_agnostic_t,579,0,,,,,,0.2807002336793471
qwen36-27b_nothink,arm:time_respecting,386,1,-0.1520733387268574,-0.21502578934244018,-0.10213750257732218,0.0,0.1500541060478538,0.3021274447747112
qwen36-27b_think,all_conditions,2928,32,-0.38680624984633655,-0.45688651902285693,-0.2754719997069677,0.0,-0.2498896306101585,0.13691661923617804
qwen36-27b_think,paired_legs,1680,21,-0.42486288586983745,-0.5608646716821801,-0.3106348079303351,0.0,-0.29063228865355883,0.13423059721627859
qwen36-27b_think,leg:hidden,840,11,-0.4612038549931213,-0.5639332660352863,-0.32795709592073774,0.0,-0.32624446955863906,0.13495938543448222
qwen36-27b_think,leg:mechanism,840,10,-0.3849615767141399,-0.43768291614296145,-0.28526099703388547,0.0,-0.25145888965797064,0.13350268705616922
qwen36-27b_think,arm:event_sample_then_full_history,624,29,-0.11636378059297864,-0.19923066745556753,0.004214111849421003,0.028700906344410877,-0.27057064031047606,-0.15420685971749742
qwen36-27b_think,arm:node_panel_full_history,528,3,-0.051789390354134976,-0.059986866790781176,-0.04243244347295984,0.0,-0.04997320350708968,0.001816186847045299
qwen36-27b_think,arm:recent_history_k20,528,0,,,,,,0.26356682919585744
qwen36-27b_think,arm:time_agnostic_t,720,0,,,,,,0.2717769775472944
qwen36-27b_think,arm:time_respecting,528,0,,,,,,0.28876402101461945
