model,role,scope,arms,graph_groups,n,slope,ci_lo,ci_hi,share_positive_draws,r2,rmse,null_N0,null_N1,null_N2_lookup,null_perm_mean,null_perm_lo,null_perm_hi,null_perm_analytic,slope_not_reportable
codex-gpt-5.6-sol,exploratory,clean_arms (primary),3,12,79,0.832094119128264,0.7480886477744264,0.9639452020011972,1.0,0.8173532957251376,0.09986076528357518,0.0,0.8943020221496791,0.622472827216236,0.5377497858523907,0.44134397962008504,0.6326542440756857,0.5371653313546004,False
codex-gpt-5.6-sol,exploratory,opposed_arms (extension),2,10,29,0.4770100521586792,0.12983214926696038,0.7459131340611832,0.99975,0.23215393746783897,0.1811263797913774,0.0,-0.08719691715632227,0.00030377130767207737,0.0038476223222098996,-0.35976481772233915,0.37284440759756937,-0.0005049653856066894,False
codex-gpt-5.6-sol,exploratory,all_arms,5,12,108,0.6775259342104827,0.5652589625899078,0.8530776909169057,1.0,0.6456906533011797,0.13830683286295772,0.0,0.7328882457577952,0.6115315953633826,0.42233222774736767,0.33945284219444477,0.5048981942454156,0.37782501705151217,False
codex-gpt-5.6-sol,exploratory,event_sample_then_full_history,1,12,32,0.6619017437294152,0.4124761875687351,0.9833394338146713,1.0,0.3359062182660546,0.13421445238237614,0.0,1.5883390755017524,0.0,,,,,False
codex-gpt-5.6-sol,exploratory,node_panel_full_history,1,10,15,,,,,,,0.0,2.634354168069142,0.0,,,,,True
codex-gpt-5.6-sol,exploratory,recent_history_k20,1,10,15,0.41445270867500783,0.06877714513637666,0.7063018629534152,0.99525,0.21370875829710634,0.15514547586626923,0.0,-0.1353118667832871,0.0,,,,,False
codex-gpt-5.6-sol,exploratory,time_agnostic_t,1,12,32,0.8516435207166907,0.7109751931628839,1.0053018052826526,1.0,0.8360122259681584,0.07431397165788844,0.0,0.21026595026741135,0.0,,,,,False
codex-gpt-5.6-sol,exploratory,time_respecting,1,10,14,0.5298042640723009,0.11908937703796044,0.8770208791847837,0.99925,0.24958885770295314,0.20431435630211608,0.0,-0.04892078534130895,0.0,,,,,False
qwen36-27b_nothink,confirmatory,clean_arms (primary),3,12,95,0.6848500096423976,0.5698622720658589,0.8456218847827582,1.0,0.6407783550288879,0.11985413253169316,0.0,0.8883315245647906,0.6173458430988462,0.5220787749193394,0.4445734048896593,0.6006536011190136,0.5221486654409484,False
qwen36-27b_nothink,confirmatory,opposed_arms (extension),2,12,64,-0.012781036293540294,-0.08871064735901756,0.07432284261724706,0.40075,0.0015488337111113637,0.0630567594162016,0.0,-0.15150838480568551,0.003377947449810534,0.0014264097645102748,-0.07840732230748793,0.08061373975927935,0.002574707035665631,False
qwen36-27b_nothink,confirmatory,all_arms,5,12,159,0.32770428141819996,0.23951047053115662,0.44291848283985263,1.0,0.2630633334659921,0.1375096046993394,0.0,0.6614607219095854,0.5602856919987623,0.24672523032031304,0.20225219860793597,0.2909451001845616,0.24638236705790048,False
qwen36-27b_nothink,confirmatory,event_sample_then_full_history,1,12,32,0.2432547744160337,-0.011914492325748972,0.5967437426428761,0.96775,0.07439277474672878,0.12373980739118308,0.0,1.5883390755017524,0.0,,,,,False
qwen36-27b_nothink,confirmatory,node_panel_full_history,1,12,31,,,,,,,0.0,1.2284855042418052,0.0,,,,,True
qwen36-27b_nothink,confirmatory,recent_history_k20,1,12,32,0.006480777128900344,-0.11989142771191973,0.1601780455019109,0.5405,0.00035799803396674434,0.0625895234580962,0.0,-0.20852991159665213,0.0,,,,,False
qwen36-27b_nothink,confirmatory,time_agnostic_t,1,12,32,0.5385551096947859,0.3267138539601122,0.7531437758901134,1.0,0.4632356734290103,0.11421790225433717,0.0,0.21026595026741135,0.0,,,,,False
qwen36-27b_nothink,confirmatory,time_respecting,1,12,32,-0.03287504357295106,-0.13583613271040387,0.06692486043742317,0.27775,0.011606833902405467,0.0620673645827962,0.0,-0.1130222247885877,0.0,,,,,False
qwen36-27b_think,confirmatory,clean_arms (primary),3,12,95,0.8262687721841212,0.7248174797834375,0.9888573873611476,1.0,0.747569301880233,0.11222688500726714,0.0,0.8883315245647906,0.6173458430988462,0.5162490344111967,0.4078361062556832,0.6251154386852373,0.5160716789593522,False
qwen36-27b_think,confirmatory,opposed_arms (extension),2,12,64,-0.060123581997479976,-0.13412191451744607,-0.008463643601460508,0.01125,0.02374159991521163,0.07491638440923275,0.0,-0.15150838480568551,0.003377947449810534,0.005014692186213732,-0.09201847810570757,0.10556923379272748,0.0055025134932229205,False
qwen36-27b_think,confirmatory,all_arms,5,12,159,0.3836155187953862,0.3272763989535845,0.45468346661451975,1.0,0.2856812057250687,0.15207834096948827,0.0,0.6614607219095854,0.5602856919987623,0.238434021029365,0.17843305373960458,0.3004041707764176,0.23760797437457415,False
