model,scope,k,n,slope,ci_lo,ci_hi,mean_required
codex-gpt-5.6-sol,clean_arms,2,81,0.8300535953556872,0.7471924600992877,0.9604322738474079,0.046031221143962076
codex-gpt-5.6-sol,time_agnostic_t,2,32,0.8516435207166906,0.7109751931628839,1.0053018052826526,0.2795761395227846
qwen36-27b_nothink,clean_arms,2,95,0.6848500096423978,0.5698622720658592,0.8456218847827586,0.039576090604651115
qwen36-27b_nothink,time_agnostic_t,2,32,0.5385551096947857,0.3267138539601123,0.7531437758901134,0.2795761395227846
qwen36-27b_think,clean_arms,2,95,0.8262687721841212,0.7248174797834376,0.9888573873611471,0.039576090604651115
qwen36-27b_think,time_agnostic_t,2,32,1.0576229196666536,0.8674877484098902,1.2440594834783296,0.2795761395227846
codex-gpt-5.6-sol,clean_arms,3,81,0.8455739833191125,0.7487964128835335,0.8931738458926831,-0.0006752841583962775
codex-gpt-5.6-sol,time_agnostic_t,3,32,0.6829795646765161,0.395684606774567,0.834112004082457,0.1123898385439468
qwen36-27b_nothink,clean_arms,3,95,0.5063494592701464,0.3648279619417074,0.7178657674670432,0.0005439289412071505
qwen36-27b_nothink,time_agnostic_t,3,32,0.2985277333862527,0.10624385514660356,0.5199417800059809,0.1123898385439468
qwen36-27b_think,clean_arms,3,95,0.6406501015096496,0.5355327679236033,0.7235063998270371,0.0005439289412071505
qwen36-27b_think,time_agnostic_t,3,32,0.6103292383732305,0.3140681807257207,0.7948284838357247,0.1123898385439468
codex-gpt-5.6-sol,clean_arms,4,81,0.7641100036163742,0.5091368402949985,0.887323054625824,-0.013729184821266248
codex-gpt-5.6-sol,time_agnostic_t,4,32,0.41627758299176804,0.058447093639450276,0.6737701813380522,0.051501990805962544
qwen36-27b_nothink,clean_arms,4,95,0.36569147083880726,0.12327477417066403,0.6255853663543547,-0.009419172504736785
qwen36-27b_nothink,time_agnostic_t,4,32,0.02822073517807804,-0.2595908685009774,0.23084358123202123,0.051501990805962544
qwen36-27b_think,clean_arms,4,95,0.5578200029140238,0.4185167168692668,0.7064415646275601,-0.009419172504736785
qwen36-27b_think,time_agnostic_t,4,32,0.37477029046980814,0.2268702139440468,0.6631029463006476,0.051501990805962544
codex-gpt-5.6-sol,clean_arms,5,81,0.7747470788016207,0.6831810029679624,0.8684072694400609,-0.002307861926721023
codex-gpt-5.6-sol,time_agnostic_t,5,32,0.6348088423996464,0.009408004390526498,0.7069892827905435,0.03256933501862129
qwen36-27b_nothink,clean_arms,5,95,0.3828852220453971,0.1909868651310769,0.9291766445667229,-0.0012151916973600159
qwen36-27b_nothink,time_agnostic_t,5,32,0.1105369658911968,-0.245818671920404,0.3301521669949524,0.03256933501862129
qwen36-27b_think,clean_arms,5,95,0.42123039772786725,0.22011928145509482,0.6766795728945573,-0.0012151916973600159
qwen36-27b_think,time_agnostic_t,5,32,0.1977268802232087,0.07236773308002659,0.8664445776435926,0.03256933501862129
