model,strategy,condition,groups,profile_mae
codex-gpt-5.6-sol,event_sample_then_full_history,direction_only,12,0.06237485404567073
codex-gpt-5.6-sol,event_sample_then_full_history,hidden,12,0.09794833045991101
codex-gpt-5.6-sol,event_sample_then_full_history,mechanism,12,0.04988303772706493
codex-gpt-5.6-sol,event_sample_then_full_history,mechanism_direction,12,0.061207924672920945
codex-gpt-5.6-sol,event_sample_then_full_history,mismatched,4,0.4280224207262077
codex-gpt-5.6-sol,node_panel_full_history,direction_only,11,0.01871820591111456
codex-gpt-5.6-sol,node_panel_full_history,hidden,11,0.01860014361452365
codex-gpt-5.6-sol,node_panel_full_history,mechanism,11,0.01871645249634183
codex-gpt-5.6-sol,node_panel_full_history,mechanism_direction,11,0.018716517294069104
codex-gpt-5.6-sol,recent_history_k20,direction_only,12,0.13797859095432377
codex-gpt-5.6-sol,recent_history_k20,hidden,12,0.1669357153107246
codex-gpt-5.6-sol,recent_history_k20,mechanism,12,0.10878772160921168
codex-gpt-5.6-sol,recent_history_k20,mechanism_direction,12,0.10193933667482484
codex-gpt-5.6-sol,time_agnostic_t,direction_only,12,0.15698636723272633
codex-gpt-5.6-sol,time_agnostic_t,hidden,12,0.13952133325646993
codex-gpt-5.6-sol,time_agnostic_t,mechanism,12,0.05691411067967484
codex-gpt-5.6-sol,time_agnostic_t,mechanism_direction,12,0.05268591349764092
codex-gpt-5.6-sol,time_agnostic_t,metadata_only,4,0.09377473797297033
codex-gpt-5.6-sol,time_agnostic_t,mismatched,4,0.11330732614879228
codex-gpt-5.6-sol,time_respecting,direction_only,12,0.17577527880076596
codex-gpt-5.6-sol,time_respecting,hidden,12,0.17623298931801623
codex-gpt-5.6-sol,time_respecting,mechanism,12,0.1382090428061354
codex-gpt-5.6-sol,time_respecting,mechanism_direction,12,0.15735632406655922
qwen36-27b_nothink,event_sample_then_full_history,direction_only,12,0.046045223657347346
qwen36-27b_nothink,event_sample_then_full_history,hidden,12,0.08175459933735506
qwen36-27b_nothink,event_sample_then_full_history,mechanism,12,0.06135629308972242
qwen36-27b_nothink,event_sample_then_full_history,mechanism_direction,12,0.05376611560045219
qwen36-27b_nothink,event_sample_then_full_history,mismatched,12,0.2066483143694748
qwen36-27b_nothink,node_panel_full_history,direction_only,12,0.019910662531570644
qwen36-27b_nothink,node_panel_full_history,hidden,12,0.05497700167077999
qwen36-27b_nothink,node_panel_full_history,mechanism,12,0.030625028806017324
qwen36-27b_nothink,node_panel_full_history,mechanism_direction,12,0.021618631550888806
qwen36-27b_nothink,recent_history_k20,direction_only,12,0.13792064314678767
qwen36-27b_nothink,recent_history_k20,hidden,12,0.15124657815626563
qwen36-27b_nothink,recent_history_k20,mechanism,12,0.14076210701784223
qwen36-27b_nothink,recent_history_k20,mechanism_direction,12,0.13475472286808685
qwen36-27b_nothink,time_agnostic_t,direction_only,12,0.12777612808284136
qwen36-27b_nothink,time_agnostic_t,hidden,12,0.13787207257850473
qwen36-27b_nothink,time_agnostic_t,mechanism,12,0.10301449224001717
qwen36-27b_nothink,time_agnostic_t,mechanism_direction,12,0.09391133282287197
qwen36-27b_nothink,time_agnostic_t,metadata_only,12,0.2669498216929403
qwen36-27b_nothink,time_agnostic_t,mismatched,12,0.14467491348326117
qwen36-27b_nothink,time_respecting,direction_only,12,0.13968673670569537
qwen36-27b_nothink,time_respecting,hidden,12,0.15706649563892353
qwen36-27b_nothink,time_respecting,mechanism,12,0.15128695963345853
qwen36-27b_nothink,time_respecting,mechanism_direction,12,0.14250035702268454
qwen36-27b_think,event_sample_then_full_history,direction_only,12,0.052116610316741994
qwen36-27b_think,event_sample_then_full_history,hidden,12,0.0817833607526528
qwen36-27b_think,event_sample_then_full_history,mechanism,12,0.04975585136653502
qwen36-27b_think,event_sample_then_full_history,mechanism_direction,12,0.046308092451360895
qwen36-27b_think,event_sample_then_full_history,mismatched,12,0.2566401294422495
qwen36-27b_think,node_panel_full_history,direction_only,12,0.021033475483743347
qwen36-27b_think,node_panel_full_history,hidden,12,0.04397787511510445
qwen36-27b_think,node_panel_full_history,mechanism,12,0.03014301319632748
qwen36-27b_think,node_panel_full_history,mechanism_direction,12,0.020747622087828724
qwen36-27b_think,recent_history_k20,direction_only,12,0.15476477042753423
qwen36-27b_think,recent_history_k20,hidden,12,0.1509603046667013
qwen36-27b_think,recent_history_k20,mechanism,12,0.15066076731933206
qwen36-27b_think,recent_history_k20,mechanism_direction,12,0.18039782580064448
qwen36-27b_think,time_agnostic_t,direction_only,12,0.15583187209002483
qwen36-27b_think,time_agnostic_t,hidden,12,0.14034606541189065
qwen36-27b_think,time_agnostic_t,mechanism,12,0.07305579183067615
qwen36-27b_think,time_agnostic_t,mechanism_direction,12,0.07872255771760561
qwen36-27b_think,time_agnostic_t,metadata_only,12,0.24702054111337113
qwen36-27b_think,time_agnostic_t,mismatched,12,0.14394942251151574
qwen36-27b_think,time_respecting,direction_only,12,0.2388191995681432
qwen36-27b_think,time_respecting,hidden,12,0.1576092386944791
qwen36-27b_think,time_respecting,mechanism,12,0.16884199787011575
qwen36-27b_think,time_respecting,mechanism_direction,12,0.23701834715250336
