model,strategy,condition,n,mse_model,mse_best_constant,skill_score
codex-gpt-5.6-sol,event_sample_then_full_history,direction_only,16,0.01780203870193165,0.05044331462739768,0.6470882448263484
codex-gpt-5.6-sol,event_sample_then_full_history,hidden,32,0.04741260891726988,0.05289626402097685,0.1036680984035534
codex-gpt-5.6-sol,event_sample_then_full_history,mechanism,32,0.020480321207539367,0.05289626402097685,0.6128210264638431
codex-gpt-5.6-sol,event_sample_then_full_history,mechanism_direction,16,0.02807780419290378,0.05044331462739768,0.4433790800564549
codex-gpt-5.6-sol,event_sample_then_full_history,mismatched,7,0.33536029354579444,0.05457449039814819,-5.145000917080003
codex-gpt-5.6-sol,node_panel_full_history,direction_only,16,0.0010246695073012739,0.05044331462739768,0.9796867133956194
codex-gpt-5.6-sol,node_panel_full_history,hidden,16,0.0009793785280255776,0.05044331462739768,0.9805845723014078
codex-gpt-5.6-sol,node_panel_full_history,mechanism,16,0.0010244409962522787,0.05044331462739768,0.9796912434517959
codex-gpt-5.6-sol,node_panel_full_history,mechanism_direction,15,0.0010879515073797003,0.05348314316571097,0.9796580484432484
codex-gpt-5.6-sol,recent_history_k20,direction_only,15,0.10904935907950103,0.05348314316571097,-1.0389482110582944
codex-gpt-5.6-sol,recent_history_k20,hidden,15,0.15593990571373637,0.05348314316571097,-1.9156832692232704
codex-gpt-5.6-sol,recent_history_k20,mechanism,15,0.07460212723219307,0.05348314316571097,-0.3948717823305097
codex-gpt-5.6-sol,recent_history_k20,mechanism_direction,15,0.06677634943971066,0.05348314316571097,-0.24854945852401222
codex-gpt-5.6-sol,time_agnostic_t,direction_only,15,0.13366064770287694,0.05348314316571097,-1.4991172880162598
codex-gpt-5.6-sol,time_agnostic_t,hidden,32,0.11678459092547289,0.05289626402097685,-1.2078041443373033
codex-gpt-5.6-sol,time_agnostic_t,mechanism,32,0.008923574780945636,0.05289626402097685,0.8313004718555009
codex-gpt-5.6-sol,time_agnostic_t,mechanism_direction,15,0.012651777239658563,0.05348314316571097,0.7634436480208618
codex-gpt-5.6-sol,time_agnostic_t,metadata_only,7,0.04492146283504204,0.05457449039814819,0.176878015583517
codex-gpt-5.6-sol,time_agnostic_t,mismatched,7,0.11126081930958125,0.05457449039814819,-1.0386964403676138
codex-gpt-5.6-sol,time_respecting,direction_only,15,0.14378477916489105,0.05348314316571097,-1.6884130336055887
codex-gpt-5.6-sol,time_respecting,hidden,15,0.17391037631366543,0.05348314316571097,-2.251685783964219
codex-gpt-5.6-sol,time_respecting,mechanism,14,0.09586735879577746,0.05558808307500444,-0.7246027114557019
codex-gpt-5.6-sol,time_respecting,mechanism_direction,14,0.18676387621326093,0.05558808307500444,-2.359782634728784
qwen36-27b_nothink,event_sample_then_full_history,direction_only,31,0.008437391655594413,0.052724762484406426,0.8399728845039405
qwen36-27b_nothink,event_sample_then_full_history,hidden,32,0.028212946813446244,0.05289626402097685,0.46663630531150646
qwen36-27b_nothink,event_sample_then_full_history,mechanism,32,0.021129973281673278,0.05289626402097685,0.6005394015483995
qwen36-27b_nothink,event_sample_then_full_history,mechanism_direction,32,0.01677985861110365,0.05289626402097685,0.6827780010238658
qwen36-27b_nothink,event_sample_then_full_history,mismatched,31,0.10570646020369902,0.05438399773675538,-0.9437052184977088
qwen36-27b_nothink,node_panel_full_history,direction_only,32,0.0021414184341552386,0.05289626402097685,0.9595166412261927
qwen36-27b_nothink,node_panel_full_history,hidden,32,0.010268676899859717,0.05289626402097685,0.8058714147413604
qwen36-27b_nothink,node_panel_full_history,mechanism,32,0.003118183576918652,0.05289626402097685,0.9410509676887183
qwen36-27b_nothink,node_panel_full_history,mechanism_direction,32,0.0023861620035804526,0.05289626402097685,0.954889781958246
qwen36-27b_nothink,recent_history_k20,direction_only,32,0.07744774350544587,0.05289626402097685,-0.4641439228058286
qwen36-27b_nothink,recent_history_k20,hidden,32,0.1141902442285261,0.05289626402097685,-1.158758209903863
qwen36-27b_nothink,recent_history_k20,mechanism,32,0.0984753588450554,0.05289626402097685,-0.8616694518539805
qwen36-27b_nothink,recent_history_k20,mechanism_direction,32,0.06049781934885014,0.05289626402097685,-0.14370684713874637
qwen36-27b_nothink,time_agnostic_t,direction_only,32,0.07005011690925966,0.05289626402097685,-0.32429233341470365
qwen36-27b_nothink,time_agnostic_t,hidden,32,0.11366131386238203,0.05289626402097685,-1.1487588200427128
qwen36-27b_nothink,time_agnostic_t,mechanism,32,0.01973361528886747,0.05289626402097685,0.6269374472072018
qwen36-27b_nothink,time_agnostic_t,mechanism_direction,32,0.016788622155629443,0.05289626402097685,0.6826123268559827
qwen36-27b_nothink,time_agnostic_t,metadata_only,32,0.17150462556380502,0.05289626402097685,-2.2422823943821846
qwen36-27b_nothink,time_agnostic_t,mismatched,32,0.1304492679903238,0.05289626402097685,-1.466133864172186
qwen36-27b_nothink,time_respecting,direction_only,32,0.08086109663607101,0.05289626402097685,-0.5286731139273704
qwen36-27b_nothink,time_respecting,hidden,32,0.1317203054595561,0.05289626402097685,-1.4901627345046586
qwen36-27b_nothink,time_respecting,mechanism,32,0.11128613985191291,0.05289626402097685,-1.1038563292065509
qwen36-27b_nothink,time_respecting,mechanism_direction,32,0.07692500125316132,0.05289626402097685,-0.45426151878430376
qwen36-27b_think,event_sample_then_full_history,direction_only,32,0.012690277105482848,0.05289626402097685,0.7600912400836037
qwen36-27b_think,event_sample_then_full_history,hidden,55,0.027597748013412287,0.06439014565931568,0.5713979564601347
qwen36-27b_think,event_sample_then_full_history,mechanism,55,0.01763990600722921,0.06439014565931568,0.7260464962983486
qwen36-27b_think,event_sample_then_full_history,mechanism_direction,32,0.013748340966381748,0.05289626402097685,0.7400886202297836
qwen36-27b_think,event_sample_then_full_history,mismatched,32,0.1505436664691024,0.05289626402097685,-1.8460169967656301
qwen36-27b_think,node_panel_full_history,direction_only,32,0.0024241843656111275,0.05289626402097685,0.954170971986797
qwen36-27b_think,node_panel_full_history,hidden,56,0.00807840384729295,0.06328068082839802,0.8723401243232569
qwen36-27b_think,node_panel_full_history,mechanism,56,0.0033028072440606454,0.06328068082839802,0.9478070210240458
qwen36-27b_think,node_panel_full_history,mechanism_direction,32,0.00245023385856745,0.05289626402097685,0.9536785082289408
qwen36-27b_think,recent_history_k20,direction_only,32,0.07825709869416919,0.05289626402097685,-0.47944472341440036
qwen36-27b_think,recent_history_k20,hidden,56,0.10754660216255073,0.06328068082839802,-0.6995171473295496
qwen36-27b_think,recent_history_k20,mechanism,56,0.1054091169355998,0.06328068082839802,-0.6657392991937612
qwen36-27b_think,recent_history_k20,mechanism_direction,32,0.08161455712284577,0.05289626402097685,-0.5429172292863673
qwen36-27b_think,time_agnostic_t,direction_only,32,0.08755662718129423,0.05289626402097685,-0.6552516288593133
qwen36-27b_think,time_agnostic_t,hidden,56,0.11018157832143449,0.06328068082839802,-0.7411566512727703
qwen36-27b_think,time_agnostic_t,mechanism,56,0.008953020245593244,0.06328068082839802,0.8585189013709937
qwen36-27b_think,time_agnostic_t,mechanism_direction,32,0.011458367187500816,0.05289626402097685,0.7833804069233166
qwen36-27b_think,time_agnostic_t,metadata_only,32,0.14912135825512873,0.05289626402097685,-1.8191283640748672
qwen36-27b_think,time_agnostic_t,mismatched,32,0.13047562620738765,0.05289626402097685,-1.4666321643367
qwen36-27b_think,time_respecting,direction_only,32,0.12007423494841205,0.05289626402097685,-1.2699946238319346
qwen36-27b_think,time_respecting,hidden,56,0.1304259435618341,0.06328068082839802,-1.0610704855644308
qwen36-27b_think,time_respecting,mechanism,56,0.11531798786419711,0.06328068082839802,-0.8223253345979595
qwen36-27b_think,time_respecting,mechanism_direction,32,0.11297011429803128,0.05289626402097685,-1.1356917428654545
