model,role,strategy,condition,n,median_width,empirical_coverage,width_vs_log_coverage_slope,inverted_share
codex-gpt-5.6-sol,exploratory,event_sample_then_full_history,direction_only,18,0.12575,0.5555555555555556,-0.22720014570343766,0.0
codex-gpt-5.6-sol,exploratory,event_sample_then_full_history,hidden,40,1.0,0.725,-0.039824433040598683,0.0
codex-gpt-5.6-sol,exploratory,event_sample_then_full_history,mechanism,40,0.05976300000000004,0.525,-0.148615916828911,0.0
codex-gpt-5.6-sol,exploratory,event_sample_then_full_history,mechanism_direction,18,0.048146999999999995,0.3888888888888889,-0.06712185110926412,0.0
codex-gpt-5.6-sol,exploratory,node_panel_full_history,direction_only,17,0.060024999999999995,0.8823529411764706,-0.07038591539740281,0.0
codex-gpt-5.6-sol,exploratory,node_panel_full_history,hidden,17,1.0,1.0,-0.05113238501423898,0.0
codex-gpt-5.6-sol,exploratory,node_panel_full_history,mechanism,17,0.060024999999999995,0.8823529411764706,-0.07037618686799646,0.0
codex-gpt-5.6-sol,exploratory,node_panel_full_history,mechanism_direction,17,0.060024999999999995,0.8823529411764706,-0.07032495877114298,0.0
codex-gpt-5.6-sol,exploratory,recent_history_k20,direction_only,18,0.671852,0.6111111111111112,-0.06142075952579101,0.0
codex-gpt-5.6-sol,exploratory,recent_history_k20,hidden,18,1.0,0.7222222222222222,-0.14228672928111671,0.0
codex-gpt-5.6-sol,exploratory,recent_history_k20,mechanism,18,0.18699999999999997,0.5,0.007777612570649565,0.0
codex-gpt-5.6-sol,exploratory,recent_history_k20,mechanism_direction,18,0.24,0.3888888888888889,0.024644688841792866,0.0
codex-gpt-5.6-sol,exploratory,time_agnostic_t,direction_only,18,1.0,0.7222222222222222,-0.24402668182419554,0.0
codex-gpt-5.6-sol,exploratory,time_agnostic_t,hidden,39,1.0,0.7948717948717948,-0.04367165733925033,0.0
codex-gpt-5.6-sol,exploratory,time_agnostic_t,mechanism,39,0.23500000000000004,0.8461538461538461,-0.1839757363710649,0.0
