model,case_id,instance_id,group_id,strategy,coverage,delta_i,rho2_wrong,generations,naive,rho2_mechanism,shift_raw,shift_toward_stated,Delta_i,follows_evidence
qwen36-27b_nothink,activity__n1500__f0__beta1|event_sample_then_full_history|ss0|b9600,activity__n1500__f0__beta1,activity::n1500::f0,event_sample_then_full_history,0.1413924259963618,-0.3005434041528494,0.6395333333333334,3,0.8771929824561403,0.5233333333333333,0.11620000000000008,0.11620000000000008,-0.2376596491228069,True
qwen36-27b_nothink,activity__n1500__f0__beta1|time_agnostic_t|ws0|b800,activity__n1500__f0__beta1,activity::n1500::f0,time_agnostic_t,0.1073259467504547,0.49652631173934636,0.04666666666666667,3,0.0801232665639445,0.63975,-0.5930833333333334,0.5930833333333334,-0.03345659989727783,False
qwen36-27b_nothink,activity__n1500__f0__memoryless|event_sample_then_full_history|ss0|b9600,activity__n1500__f0__memoryless,activity::n1500::f0,event_sample_then_full_history,0.3375926859117414,-0.0083547334923867,0.019235,3,0.0194050538436933,0.00978,0.009454999999999998,0.009454999999999998,-0.0001700538436933026,True
qwen36-27b_nothink,activity__n1500__f0__memoryless|time_agnostic_t|ws0|b800,activity__n1500__f0__memoryless,activity::n1500::f0,time_agnostic_t,0.0276078036138506,0.0110503203513066,0.0,3,0.0,0.006666666666666667,-0.006666666666666667,0.006666666666666667,0.0,False
qwen36-27b_nothink,activity__n500__f0__beta1|event_sample_then_full_history|ss0|b9600,activity__n500__f0__beta1,activity::n500::f0,event_sample_then_full_history,0.9640924741760944,-0.01993786201150405,0.5743333333333333,3,0.5826530612244898,0.2623333333333333,0.31199999999999994,0.31199999999999994,-0.008319727891156536,True
qwen36-27b_nothink,activity__n500__f0__beta1|time_agnostic_t|ws0|b800,activity__n500__f0__beta1,activity::n500::f0,time_agnostic_t,0.2710280373831775,0.4320436928608986,0.19000000000000003,3,0.1306715063520871,0.42333333333333334,-0.2333333333333333,0.2333333333333333,0.05932849364791293,True
qwen36-27b_nothink,activity__n500__f0__memoryless|event_sample_then_full_history|ss0|b9600,activity__n500__f0__memoryless,activity::n500::f0,event_sample_then_full_history,0.9597435358419172,-0.0014430716227792004,0.027499999999999997,3,0.0410688862118059,0.0207,0.006799999999999997,0.006799999999999997,-0.013568886211805901,True
qwen36-27b_nothink,activity__n500__f0__memoryless|time_agnostic_t|ws0|b800,activity__n500__f0__memoryless,activity::n500::f0,time_agnostic_t,0.0794618457010721,0.0396258145890267,0.0,3,0.0,0.18000000000000002,-0.18000000000000002,0.18000000000000002,0.0,False
qwen36-27b_nothink,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0,real::snap_bitcoin_otc,event_sample_then_full_history,0.250930578820026,-0.024286002054969308,0.12693333333333334,3,0.1505655479325051,0.1234,0.0035333333333333466,0.0035333333333333466,-0.023632214599171752,True
qwen36-27b_nothink,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0,real::snap_bitcoin_otc,time_agnostic_t,0.0319188535268937,0.12044864208744839,0.02633333333333333,3,0.0058309037900874,0.3611333333333333,-0.3348,0.3348,0.02050242954324593,True
